name,name_simbadable,ra_j2000_formula,dec_j2000_formula,teff_atmo,radius_atmo,logg_atmo,log_lbol_lsun,log_lbol_lsun_err
2MASSI J0125369-343505,2MASS J01253689-3435049,21.4038,-34.5847,1800,1.3,5.5,-3.8,0.04
2MASS J01262109+1428057,2MASS J01262109+1428057,21.5879,14.4683,1700,1.19,3.5,-4.01,0.06
CTI 012657.5+280202,CTI 012657.5+280202,21.9131,28.0982,2400,1.08,3.5,-3.46,0.02
SDSS J012743.51+135420.9,2MASS J01274352+1354210,21.9313,13.9058,1700,0.87,5.5,-4.25,0.12
2MASSW J0129122+351758,2MASSW J0129122+351758,22.3011,35.2995,1800,0.84,5.0,-4.16,0.07
2MASS J01311838+3801554,2MASSI J0131183+380155,22.8267,38.0321,1700,1.32,5.5,-3.88,0.03
2MASS J01340281+0508125,2MASS J01340281+0508125,23.5118,5.1368,1800,1.39,5.5,-3.73,0.06
PSO J023.8557+02.0884,2MASS J01352531+0205232,23.8555,2.0898,1800,0.51,5.5,-4.61,0.1
WISE J013525.64+171503.4,WISE J013525.64+171503.4,23.858,17.2514,900,0.84,5.5,-5.37,0.09
2MASSW J0135358+120522,2MASSW J0135358+120522,23.8994,12.0894,1800,1.29,5.5,-3.8,0.02
PSO J024.1519+37.6443,PSO J024.1519+37.6443,24.1519,37.6444,2700,0.74,5.0,-3.58,0.09
SIMP J013656.5+093347.3,SIMP J013656.5+093347.3,24.2357,9.5631,1300,0.82,5.5,-4.76,0.05
WISEPC J013836.59-032221.2,2MASS J01383648-0322181,24.6521,-3.3718,1300,0.83,5.5,-4.74,0.07
2MASSW J0141032+180450,2MASS J01410321+1804502,25.2635,18.0806,1800,1.55,5.5,-3.65,0.02
2MASS J01414839-1601196,2MASS J01414839-1601196,25.4516,-16.0221,1800,0.84,5.0,-4.17,0.18
2MASS J01415823-4633574,2MASS J01415823-4633574,25.4926,-46.5659,1700,1.87,5.5,-3.57,0.03
2MASS J01443536-0716142,2MASS J01443536-0716142,26.1475,-7.2706,1800,0.81,5.0,-4.2,0.02
2MASS J01460119-4545263,2MASS J01460119-4545263,26.5049,-45.7573,1900,2.68,5.5,-3.06,0.05
2MASS J01472702+4731142,2MASS J01472702+4731142,26.8625,47.5207,1800,1.27,5.5,-3.81,0.06
2MASSW J0147334+345311,2MASSW J0147334+345311,26.8894,34.8864,1800,1.93,5.5,-3.45,0.03
SDSS J015141.69+124429.6,BRLT 38,27.924,12.7412,1400,0.65,5.5,-4.82,0.08
PSO J028.0715-15.5717,Null,28.0714,-15.5714,1900,1.53,5.5,-3.58,0.09
SDSS J015354.23+140452.9,2MASS J01535422+1404532,28.4759,14.0814,2400,0.92,3.5,-3.6,0.03
GD 280B,2MASS J01545796+4819596,28.7415,48.3332,2400,1.08,3.5,-3.45,0.07
2MASS J01550354+0950003,2MASS J01550354+0950003,28.7648,9.8334,1800,0.98,5.0,-4.03,0.02
HIP 9269B,2MASS J01591078+3312313,29.795,33.2087,1700,0.72,5.5,-4.42,0.03
2MASS J02042212-3632308,SSSPM J0204-3633,31.0922,-36.5419,2500,1.31,4.5,-3.22,0.02
2MASSW J0205034+125142,2MASSW J0205034+125142,31.2645,12.8617,1800,0.77,5.0,-4.25,0.06
SDSS J020551.36-075925.0,2MASS J02055138-0759253,31.4641,-7.9903,1700,1.28,5.5,-3.91,0.23
SDSS J020608.97+223559.2,2MASS J02060880+2235593,31.537,22.5998,1800,0.76,5.5,-4.27,0.14
PSO J031.5651+20.9097,PSO J031.5651+20.9097,31.5644,20.9099,1000,1.01,4.0,-5.03,0.07
WISEPA J020625.26+264023.6,2MASS J02062493+2640237,31.6048,26.673,1700,0.52,5.0,-4.69,0.03
SDSS J020735.60+135556.3,SDSS J020735.60+135556.3,31.8983,13.9323,1800,1.22,5.5,-3.84,0.03
SDSS J020742.48+000056.2,2MASS J02074284+0000564,31.9285,0.0155,1200,0.93,4.5,-4.78,0.12
2MASSW J0208183+254253,2MASS J02081833+2542533,32.0766,25.7148,1800,1.46,5.5,-3.69,0.02
2MASSW J0208236+273740,2MASSW J0208236+273740,32.0986,27.6277,1800,1.42,5.0,-3.71,0.11
PSO J032.2211+67.4179,Null,32.2202,67.4181,2500,2.0,4.0,-2.85,0.08
2MASSW J0208549+250048,2MASSW J0208549+250048,32.2292,25.0135,1800,0.72,5.0,-4.31,0.12
WISE J021010.25+400829.6,WISE J021010.25+400829.6,32.5437,40.1423,1200,0.84,4.5,-4.88,0.13
PSO J033.2936+20.4493,Null,33.2934,20.4497,1400,0.88,5.5,-4.58,0.2
2MASS J02132062+3648506C,PSO J033.3327+36.8105,33.3326,36.8104,1200,0.87,5.5,-4.84,0.04
2MASSI J0218291-313322,2MASSI J0218291-313322,34.6213,-31.5564,1800,1.07,5.5,-3.97,0.02
2MASS J02192196+0506306,2MASS J02192196+0506306,34.8415,5.1085,1800,1.55,5.5,-3.64,0.03
SSSPM J0219-1939,SSSPM J0219-1938,34.8669,-19.6448,1900,1.4,5.5,-3.65,0.02
WISEPC J022322.39-293258.1,WISEP J022322.39-293258.1,35.8406,-29.5477,700,0.93,5.0,-5.73,0.09
HIP 11161B,2MASS J02233667+5240066,35.9029,52.6685,1900,1.28,5.5,-3.73,0.02
2MASSI J0224367+253704,2MASSI J0224367+253704,36.1529,25.6179,1700,1.35,5.5,-3.87,0.07
CFBDS J022644.65-062522.0,CFBDS J022644-062522,36.686,-6.4228,1400,0.73,5.0,-4.73,0.17
2MASS J02271036-1624479,SIPS J0227-1624,36.793,-16.4132,1800,1.54,5.5,-3.65,0.02
PSO J036.9069+08.5025,Null,36.9059,8.5029,2000,0.62,5.0,-4.33,0.02
2MASSW J0228110+253738,2MASSI J0228110+253738,37.046,25.6273,1800,2.22,5.5,-3.32,0.03
2MASS J02284243+1639329,2MASS J02284243+1639329,37.1768,16.6592,1800,1.95,5.5,-3.43,0.02
2MASS J02292794-0053282,2MASS J02292794-0053282,37.3665,-0.8912,1800,1.64,5.5,-3.59,0.22
PSO J037.4616+17.2761,Null,37.4614,17.2764,2500,1.63,4.0,-3.03,0.03
2MASS J02301551+2704061,2MASS J02301551+2704061,37.5647,27.0684,1800,2.3,5.5,-3.29,0.02
WISE J023038.90-022554.0,2MASS J02303865-0225546,37.6612,-2.4319,1400,0.86,4.5,-4.59,0.12
2MASS J02304442-3027275,2MASS J02304442-3027275,37.6851,-30.4575,1800,1.37,5.5,-3.73,0.06
DENIS J0230450-095305,2MASS J02304498-0953050,37.6875,-9.8848,1800,1.26,5.5,-3.82,0.02
NLTT 8245B,2MASS J02332368+6545493,38.3486,65.7637,2500,1.15,4.0,-3.33,0.02
