name,name_simbadable,ref_discovery,flag,ref_flag,age_category,age_category_justification,ra_j2000_formula,dec_j2000_formula,source_j2000_formula,designation_P1_formula,g_P1,gerr_P1,ref_g_P1,r_P1,rerr_P1,ref_r_P1,i_P1,ierr_P1,ref_i_P1,z_P1,zerr_P1,ref_z_P1,y_P1,yerr_P1,ref_y_P1,designation_2mass,J_2MASS,Jerr_2MASS,ref_J_2MASS,H_2MASS,Herr_2MASS,ref_H_2MASS,Ks_2MASS,Kserr_2MASS,ref_Ks_2MASS,designation_ukidss,J_ukidss,Jerr_ukidss,H_ukidss,Herr_ukidss,K_ukidss,Kerr_ukidss,J_MKO,Jerr_MKO,ref_J_MKO,H_MKO,Herr_MKO,ref_H_MKO,K_MKO,Kerr_MKO,ref_K_MKO,designation_WISE,W1,W1err,ref_W1,W2,W2err,ref_W2,W3,W3err,ref_W3,W4,W4err,ref_W4,ch1,ch1err,ch2,ch2err,ref_Spitzer,plx_formula,plxerr_formula,ref_plx_formula,grav_opt,ref_grav_opt,grav_ir,ref_grav_ir,spt_opt,ref_spt_opt,spt_ir,ref_spt_ir,sptnum_opt_formula,sptnum_ir_formula,sptnum_formula,dist_formula,disterr_formula,dist_formula_source,spex_slit_size,spex_prism_snr,spex_prism_ref,best_fit_atmo_model_name,reduced_chi2_best_fit,teff_atmo,radius_atmo,logg_atmo,log_lbol_lsun,log_lbol_lsun_err,lbol_flag,evo_model_name,teff_evo,teff_evo_err,radius_evo,radius_evo_err,mass_evo,mass_evo_err,logg_evo,logg_evo_err
WISEA J134310.44-121628.8,2MASS J13431074-1216256,Luhm14c,Null,Null,Field,UCS+BANYAN,205.7945,-12.2739,PS1,PSO J205.7931-12.2749,NaN,NaN,Null,NaN,NaN,Null,21.14,0.063,Cham16,19.339,0.035,Cham16,18.308,0.029,Cham16,2MASS J13431074-1216256,16.272,0.098,Cutr03,15.464,0.175,Cutr03,15.226,0.175,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,16.193,0.098,Best21,15.559,0.175,Best21,15.2,0.175,Best21,CWISE J134310.30-121630.1,14.542,0.015,Maro21,14.253,0.019,Maro21,12.198,NaN,Cutr13,9.195,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,NaN,NaN,Null,Null,Null,Null,Null,Null,Null,L6.5:: pec (blue),Luhm14c,NaN,16.5,16.5,39,6,dist_W2_formula,0.8,21.0; 43.0; 26.0; 24.0; 23.0; 24.0,Luhm14c,BT-Settl,3.4,1900,0.71,5.5,-4.24,0.14,FALSE,SM08,1541,147,1.05,0.19,47.7,24.28,5.05,0.46
2MASSW J1343167+394508,2MASSW J1343167+394508,Kirk00,Null,Null,Field,UCS+BANYAN,205.8194,39.7525,PS1,PSO J205.8178+39.7528,NaN,NaN,Null,NaN,NaN,Null,21.198,0.048,Cham16,19.435,0.02,Cham16,18.36,0.011,Cham16,2MASS J13431670+3945087,16.162,0.072,Cutr03,14.857,0.048,Cutr03,14.15,0.048,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,15.92,0.01,Schn23b,14.947,0.048,Best21,14.021,0.006,Schn23b,CWISE J134316.18+394510.4,13.217,0.012,Maro21,12.858,0.009,Maro21,12.026,0.241,Cutr13,9.111,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,30,3,Best20,Null,Null,Null,Null,L5,Kirk00,L5,Kell15,15,15,15,33,3,dist_plx_formula,0.5,17.0; 51.0; 45.0; 40.0; 56.0; 56.0,Bard14,BT-Settl,6.9,1700,1.08,4.5,-4.06,0.09,FALSE,SM08,1721,170,1.05,0.2,56.11,24.2,5.12,0.44
SDSS J134525.57+521634.0,2MASS J13452562+5216337,Chiu06,Null,Null,FLD-G,Sang23,206.3566,52.2761,PS1,PSO J206.3560+52.2762,NaN,NaN,Null,NaN,NaN,Null,21.696,0.089,Cham16,20.513,0.035,Cham16,19.487,0.057,Cham16,2MASS J13452562+5216337,16.945,0.178,Cutr03,16.257,0.143,Cutr03,15.348,0.143,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,17.197,0.022,Schn23b,16.61,0.053,Schn23b;UCS_23,15.555,0.025,Schn23b,CWISE J134525.42+521634.8,14.987,0.016,Maro21,14.79,0.02,Maro21,12.901,NaN,Cutr13,8.958,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,NaN,NaN,Null,Null,Null,FLD-G,Sang23,Null,Null,L3.5,Chiu06,NaN,13.5,13.5,66,5,dist_W2_formula,0.5,7.0; 13.0; 11.0; 11.0; 6.0; 6.0,Chiu06,BT-Settl,4.5,1800,0.96,5,-4.06,0.07,FALSE,SM08,1493,71,1.38,0.12,12.76,10.95,4.29,0.27
SDSSp J134646.45-003150.4,2MASS J13464634-0031501,Tsve00,Null,Null,Field,UCS+BANYAN,206.6934,-0.5307,PS1,PSO J206.6918-00.5310,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,20.342,0.002,Cham16,18.631,0.034,Cham16,2MASS J13464634-0031501,16,0.102,Cutr03,15.459,0.274,Cutr03,15.772,0.274,Cutr03,ULAS J134646.10-003151.4,15.655,0.006,15.973,0.011,15.961,0.021,15.641,0.006,Lawr12,15.973,0.011,Lawr12,15.961,0.021,Lawr12,CWISE J134645.89-003152.2,15.477,0.021,Maro21,13.687,0.013,Maro21,11.921,0.239,Cutr13,9.074,NaN,Cutr13,14.667,0.02,13.672,0.018,Kirk19,69.2,2.3,Tinn03b; Kirk19,Null,Null,Null,Null,T7,Burg03d,T6.5,Burg06b,27,26.5,26.5,14.5,0.5,dist_plx_formula,0.5,43.0; 57.0; 22.0; 36.0; 6.0; 25.0,Burg06c,ATMO 2020,16.3,1000,0.9,4.5,-5.15,0.05,FALSE,SM08,909,72,1.07,0.17,19.94,18.3,4.65,0.51
LHS 2803B,LP  738-14 B,Deac12b,Null,Null,LHS 2803B,system_age,207.0113,-13.7356,PS1,PSO J207.0101-13.7369,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,20.828,0.03,Cham16,19.042,0.078,Cham16,2MASS J13480290-1344071,16.67,0.1,Kirk21,16.089,NaN,Cutr03,16.9,0.07,McMa13,Null,NaN,NaN,NaN,NaN,NaN,NaN,16.39,0.02,Deac12b,16.57,0.04,Deac12b,16.9,0.08,Deac12b,CWISE J134802.20-134415.1,16.202,0.034,Maro21,14.169,0.018,Maro21,12.154,NaN,Cutr13,9.078,NaN,Cutr13,15.3,0.03,14.1,0.02,Mace13a,55.028,0.024,Gaia23,Null,Null,Null,Null,Null,Null,T5.5,Deac12b,NaN,25.5,25.5,18.173,0.008,dist_plx_formula,0.5,15.0; 26.0; 8.0; 15.0; 3.0; 7.0,Deac11,ATMO 2020,4.6,1100,0.67,5.5,-5.24,0.04,FALSE,SM08,977,16,0.83,0.02,55.9,5.76,5.32,0.07
WISEPC J134806.99+660327.8,2MASS J13480677+6603315,Kirk11,Null,Null,Field,UCS+BANYAN,207.0283,66.0586,PS1,PSO J207.0292+66.0577,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,20.162,0.022,Cham16,19.026,0.018,Cham16,2MASS J13480677+6603315,16.943,0.191,Cutr03,15.909,0.152,Cutr03,15.259,0.152,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,16.87,0.191,Best21,16.007,0.152,Best21,15.252,0.152,Best21,CWISE J134807.08+660327.2,14.412,0.013,Maro21,13.864,0.011,Maro21,12.689,0.407,Cutr13,9.571,NaN,Cutr13,13.953,0.018,13.821,0.018,Kirk11,NaN,NaN,Null,Null,Null,Null,Null,Null,Null,L9,Kirk11,NaN,19,19,27,4,dist_W2_formula,0.5,15.0; 39.0; 33.0; 31.0; 31.0; 37.0,Kirk11,BT-Settl,11,1800,0.51,5,-4.61,0.13,FALSE,SM08,1240,105,1.06,0.17,29.73,22.83,4.84,0.49
PSO J207.7496+29.4240,2MASS J13510003+2925273,Best15,specblend,Best15,Field,UCS+BANYAN,207.75,29.4243,PS1,PSO J207.7494+29.4240,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,20.734,0.028,Cham16,19.517,0.056,Cham16,2MASS J13510003+2925273,16.968,0.155,Cutr03,15.79,0.144,Cutr03,15.413,0.144,Cutr03,ULAS J135059.91+292526.7,17.181,0.022,16.407,0.02,15.503,0.017,17.181,0.022,Lawr12,16.407,0.02,Lawr12,15.503,0.017,Lawr12,CWISE J135059.85+292526.2,14.467,0.014,Maro21,13.829,0.014,Maro21,12.156,NaN,Cutr13,9.297,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,27.3,1.9,Best20,Null,Null,Null,Null,Null,Null,T0: pec,Best15,NaN,20,20,36.6,2.5,dist_plx_formula,0.8,14.0; 27.0; 23.0; 21.0; 24.0; 27.0,Best15,BT-Settl,10.6,1400,0.87,3.5,-4.56,0.1,FALSE,SM08,1276,106,1.06,0.17,31.55,23.34,4.86,0.49
PM I13518+4157B,2MASS J13514747+4157479,Deac14b,Null,Null,PM I13518+4157B,system_age,207.9478,41.9633,Gaia23,PSO J207.9474+41.9630,NaN,NaN,Null,21.916,0.051,Cham16,19.67,0.019,Cham16,18.206,0.005,Cham16,17.169,0.009,Cham16,2MASS J13514747+4157479,15.081,0.032,Cutr03,14.352,0.04,Cutr03,13.851,0.04,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,15.115,0.006,Schn23b,14.416,0.04,Best21,13.837,0.04,Best21,CWISE J135147.39+415747.0,13.538,0.012,Maro21,13.253,0.01,Maro21,12.41,0.355,Cutr13,8.852,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,21.5,0.5,Gaia23,Null,Null,Null,Null,Null,Null,L1.5,Deac14b,NaN,11.5,11.5,46.5,1.1,dist_plx_formula,0.8,37.0; 74.0; 53.0; 49.0; 34.0; 38.0,Deac14b,BT-Settl,15.4,1800,1.65,5.5,-3.58,0.03,FALSE,BHAC15,2327,40,0.99,0.03,83.07,7.12,5.34,0.07
WISE J135307.51-085712.0,2MASS J13530778-0857119,Thom13,Null,Null,Field,UCS+BANYAN,208.2823,-8.9533,Gaia23,PSO J208.2811-08.9533,NaN,NaN,Null,21.452,0.037,Cham16,19.138,0.017,Cham16,17.638,0.005,Cham16,16.732,0.009,Cham16,2MASS J13530778-0857119,14.875,NaN,Cutr03,14.632,0.076,Cutr03,14.197,0.076,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Null,14.699,0.076,Best21,14.164,0.076,Best21,CWISE J135307.40-085712.2,13.712,0.013,Maro21,13.413,0.012,Maro21,12.175,NaN,Cutr13,8.892,NaN,Cutr13,13.52,0.02,13.41,0.02,Thom13,21.4,0.5,Gaia23,Null,Null,Null,Null,Null,Null,L0,Thom13,NaN,10,10,46.7,1.1,dist_plx_formula,0.5,14.0; 25.0; 20.0; 19.0; 15.0; 17.0,Thom13,BT-Settl,3.9,2400,0.91,3.5,-3.6,0.03,FALSE,BHAC15,2259,207,1.03,0.19,70.63,24.93,5.24,0.39
NLTT 35593B,2MASS J13543510-0607333,Deac14b,Null,Null,NLTT 35593B,system_age,208.6462,-6.126,PS1,PSO J208.6456-06.1261,NaN,NaN,Null,NaN,NaN,Null,20.75,0.063,Cham16,19.345,0.02,Cham16,18.361,0.013,Cham16,2MASS J13543510-0607333,16.299,0.114,Cutr03,15.408,0.098,Cutr03,14.737,0.098,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,16.227,0.01,Deac14b,15.469,0.011,Deac14b,14.876,0.011,Deac14b,CWISE J135434.92-060734.2,14.476,0.016,Maro21,14.26,0.019,Maro21,12.281,NaN,Cutr13,9.019,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,20.367,0.022,Gaia23,Null,Null,Null,Null,Null,Null,L2,Deac14b,NaN,12,12,49.1,0.05,dist_plx_formula,0.8,28.0; 54.0; 40.0; 38.0; 32.0; 33.0,Deac14b,BT-Settl,7.1,1800,1.04,5.5,-3.99,0.02,FALSE,SM08,1868,45,0.96,0.05,76.81,9.29,5.33,0.1
SDSS J135712.40+142839.8,2MASS J13571237+1428398,Schm10b,Null,Null,FLD-G,Sang23,209.3016,14.4778,PS1,PSO J209.3017+14.4777,NaN,NaN,Null,22.639,0.082,Cham16,20.125,0.013,Cham16,18.693,0.01,Cham16,17.681,0.016,Cham16,2MASS J13571237+1428398,15.584,0.063,Cutr03,14.647,0.037,Cutr03,13.88,0.037,Cutr03,ULAS J135712.41+142839.8,15.416,0.006,14.595,0.004,13.862,0.004,15.416,0.006,Lawr07,14.595,0.004,Lawr12,13.862,0.004,Lawr12,CWISE J135712.44+142839.7,13.364,0.013,Maro21,13.035,0.01,Maro21,12.396,0.342,Cutr13,9.421,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,NaN,NaN,Null,Null,Null,FLD-G,Sang23,L3,Schm10b,L3:,Burg10a,13,13,13,30.9,2.3,dist_W2_formula,0.5,23.0; 30.0; 27.0; 25.0; 25.0; 25.0,Burg10a,BT-Settl,10.1,1700,1.12,5.5,-4.02,0.07,FALSE,SM08,1521,75,1.4,0.13,13.46,11.31,4.19,0.28
2MASS J13571497-1438529,DENIS J135714.9-143852,Phan01,Null,Null,Field,UCS+BANYAN,209.3122,-14.648,Gaia23,PSO J209.3109-14.6479,20.636,0.031,Cham16,19.162,0.019,Cham16,16.548,0.005,Cham16,15.281,0.002,Cham16,14.522,0.004,Cham16,2MASS J13571497-1438529,12.87,0.025,Cutr03,12.197,0.026,Cutr03,11.735,0.027,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,12.841,0.025,Best21,12.255,0.026,Best21,11.713,0.027,Best21,CWISE J135714.60-143852.5,11.495,0.02,Maro21,11.285,0.021,Maro21,10.976,0.114,Cutr13,9.222,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,32.87,0.13,Gaia23,Null,Null,Null,Null,M7,Phan06b,Null,Null,7,NaN,7,30.42,0.12,dist_plx_formula,0.8,95.0; 151.0; 108.0; 104.0; 87.0; 88.0,Bard14,BT-Settl,51,2500,1.52,4.5,-3.09,0.02,TRUE,BHAC15,2763,208,1.23,0.19,99.91,28.43,5.24,0.34
SDSS J135852.68+374711.9,2MASS J13585269+3747137,Chiu06,Null,Null,Field,UCS+BANYAN,209.7197,37.7869,PS1,PSO J209.7194+37.7857,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,20.677,0.065,Cham16,19.025,0.014,Cham16,2MASS J13585269+3747137,16.46,0.088,Cutr03,16.142,NaN,Cutr03,16.099,NaN,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,16.199,0.012,Schn23b,16.461,0.051,Schn23b;UCS_23,16.7,0.057,Best21,CWISE J135852.64+374706.3,16.152,0.029,Maro21,14.192,0.016,Maro21,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,14.186,0.018,Kirk21,50,3,Best20,Null,Null,Null,Null,Null,Null,T4.5:,Chiu06,NaN,24.5,24.5,20,1.2,dist_plx_formula,0.5,21.0; 47.0; 18.0; 26.0; 8.0; 12.0,Chiu06,ATMO 2020,21.6,1200,0.64,5.5,-5.12,0.06,FALSE,SM08,923,73,1.07,0.17,20,18.36,4.65,0.51
