name,name_simbadable,ra_j2000_formula,dec_j2000_formula,teff_evo,teff_evo_err,radius_evo,radius_evo_err,mass_evo,mass_evo_err,logg_evo,logg_evo_err
2MASS J00531899-3631102,2MASS J00531899-3631102,13.3291,-36.5195,1678,84,1.44,0.14,15.28,12.03,4.28,0.29
SDSSp J005406.55-003101.8,2MASS J00540655-0031018,13.5274,-0.5173,2105,197,1.01,0.19,64.58,24.06,5.22,0.39
PSO J013.7740+38.2804,Null,13.7724,38.2802,1359,119,1.06,0.18,37.41,24.1,4.93,0.49
2MASS J00550564+0134365,2MASS J00550564+0134365,13.7736,1.5769,1458,101,1.45,0.11,12.76,7.63,4.16,0.24
SDSS J005705.55-084624.2,2MASS J00570555-0846241,14.2731,-8.7734,2480,222,1.13,0.19,82.08,26.85,5.25,0.38
2MASSW J0058425-065123,SIPS J0058-0651,14.6773,-6.8567,1980,97,1.3,0.13,27.82,11.27,4.63,0.25
WISEA J010202.11+035541.4,SIMP J0102018+035540,15.5077,3.928,1190,99,1.07,0.17,26.9,21.82,4.79,0.49
LHS 132,LP  938-71,15.7127,-37.6288,2364,133,1.39,0.16,39.32,16.69,4.72,0.3
2MASSI J0104075-005328,2MASS J01040750-0053283,16.0315,-0.8913,1628,161,1.05,0.2,51.94,24.33,5.08,0.45
ULAS2MASS J0106+1518,2MASS J01063737+1518556,16.6555,15.3153,2366,209,1.04,0.18,75.96,25.42,5.26,0.38
2MASS J01071607-1517577,2MASS J01071607-1517577,16.817,-15.2994,2929,199,1.41,0.19,117.74,32.1,5.19,0.32
SDSSp J010752.33+004156.1,2MASS J01075242+0041563,16.968,0.6991,1271,102,1.07,0.17,30.68,23.12,4.84,0.49
SDSS J010840.49+134739.3,2MASS J01084048+1347390,17.1687,13.7942,2295,206,1.05,0.18,72.54,24.96,5.24,0.38
2MASS J01165457-1357342,SIPS J0116-1357,19.2274,-13.9595,2711,215,1.2,0.19,96.12,28.45,5.24,0.36
2MASSI J0117474-340325,2MASS J01174748-3403258,19.4479,-34.0572,1830,22,1.41,0.03,18.59,1.53,4.38,0.05
SDSS J011912.22+240331.6,2MASS J01191207+2403317,19.8005,24.0588,1152,96,1.07,0.17,25.69,21.24,4.77,0.49
HIP 6217C,2MASS J01194467+0006181,19.9361,0.1051,2858,55,1.29,0.03,109.14,3.39,5.23,0.01
SIMP J01205253+1518277,2MASS J01205253+1518277,20.2191,15.3076,2148,194,1.5,0.18,20.85,14.34,4.38,0.29
WISEPA J012333.21+414203.9,WISE J012333.23+414203.8,20.886,41.7006,887,69,1.08,0.17,19.05,18.01,4.63,0.51
SSSPM J0124-4240,SSSPM J0124-4240,20.9961,-42.6687,2513,217,1.09,0.19,83.33,26.61,5.26,0.38
SERC 296A,2MASS J01245068-3844389,21.2112,-38.7442,3097,129,2.73,0.22,120.47,48.21,4.62,0.24
2MASSI J0125369-343505,2MASS J01253689-3435049,21.4038,-34.5847,1918,25,1.14,0.02,40.76,2.85,4.91,0.04
2MASS J01262109+1428057,2MASS J01262109+1428057,21.5879,14.4683,1475,57,1.5,0.11,12.87,6.5,4.16,0.22
CTI 012657.5+280202,CTI 012657.5+280202,21.9131,28.0982,2403,204,1.07,0.18,76.3,25.48,5.24,0.37
SDSS J012743.51+135420.9,2MASS J01274352+1354210,21.9313,13.9058,1540,147,1.05,0.19,47.89,24.4,5.05,0.47
2MASSW J0129122+351758,2MASSW J0129122+351758,22.3011,35.2995,1424,64,1.35,0.11,12.18,10.47,4.31,0.26
2MASS J01311838+3801554,2MASSI J0131183+380155,22.8267,38.0321,1629,78,1.44,0.14,14.76,10.96,4.27,0.28
2MASS J01340281+0508125,2MASS J01340281+0508125,23.5118,5.1368,1781,92,1.42,0.14,17.71,11.86,4.35,0.28
PSO J023.8557+02.0884,2MASS J01352531+0205232,23.8555,2.0898,1238,102,1.07,0.17,28.95,22.63,4.82,0.49
WISE J013525.64+171503.4,WISE J013525.64+171503.4,23.858,17.2514,793,59,1.09,0.16,16.57,16.63,4.56,0.51
2MASSW J0135358+120522,2MASSW J0135358+120522,23.8994,12.0894,2042,193,1.0,0.19,62.77,23.83,5.21,0.4
PSO J024.1519+37.6443,PSO J024.1519+37.6443,24.1519,37.6444,2268,210,1.05,0.19,71.77,25.17,5.24,0.39
SIMP J013656.5+093347.3,SIMP J013656.5+093347.3,24.2357,9.5631,1077,12,1.2,0.01,13.9,1.24,4.4,0.05
WISEPC J013836.59-032221.2,2MASS J01383648-0322181,24.6521,-3.3718,1153,94,1.07,0.17,25.58,21.04,4.77,0.49
2MASSW J0141032+180450,2MASS J01410321+1804502,25.2635,18.0806,2210,200,1.02,0.18,68.5,24.42,5.23,0.39
2MASS J01414839-1601196,2MASS J01414839-1601196,25.4516,-16.0221,1428,89,1.35,0.12,12.34,10.67,4.31,0.26
2MASS J01415823-4633574,2MASS J01415823-4633574,25.4926,-46.5659,1920,30,1.47,0.04,18.05,1.74,4.33,0.06
2MASS J01443536-0716142,2MASS J01443536-0716142,26.1475,-7.2706,1395,58,1.35,0.11,11.9,10.65,4.31,0.27
2MASS J01460119-4545263,2MASS J01460119-4545263,26.5049,-45.7573,2771,212,1.27,0.19,100.62,29.32,5.23,0.34
2MASS J01472702+4731142,2MASS J01472702+4731142,26.8625,47.5207,1698,86,1.43,0.14,15.86,11.44,4.3,0.28
2MASSW J0147334+345311,2MASSW J0147334+345311,26.8894,34.8864,2424,207,1.07,0.18,79.14,25.63,5.26,0.37
SDSS J015141.69+124429.6,BRLT 38,27.924,12.7412,1098,91,1.06,0.17,24.43,20.15,4.75,0.5
PSO J028.0715-15.5717,Null,28.0714,-15.5714,2273,207,1.05,0.18,72.06,24.91,5.24,0.38
SDSS J015354.23+140452.9,2MASS J01535422+1404532,28.4759,14.0814,2255,201,1.03,0.18,70.22,24.53,5.23,0.38
GD 280B,2MASS J01545796+4819596,28.7415,48.3332,2362,232,1.12,0.22,65.76,29.37,5.13,0.44
2MASS J01550354+0950003,2MASS J01550354+0950003,28.7648,9.8334,1571,74,1.3,0.12,18.7,9.0,4.4,0.26
HIP 9269B,2MASS J01591078+3312313,29.795,33.2087,1521,10,0.89,0.01,72.25,1.06,5.37,0.01
2MASS J02042212-3632308,SSSPM J0204-3633,31.0922,-36.5419,2647,212,1.16,0.19,91.64,27.17,5.25,0.36
2MASSW J0205034+125142,2MASSW J0205034+125142,31.2645,12.8617,1321,51,1.42,0.1,11.67,9.54,4.32,0.25
SDSS J020551.36-075925.0,2MASS J02055138-0759253,31.4641,-7.9903,1682,127,1.3,0.12,22.68,10.6,4.55,0.27
SDSS J020608.97+223559.2,2MASS J02060880+2235593,31.537,22.5998,1316,65,1.4,0.11,11.64,9.9,4.32,0.26
PSO J031.5651+20.9097,PSO J031.5651+20.9097,31.5644,20.9099,974,78,1.07,0.17,21.39,18.7,4.69,0.5
WISEPA J020625.26+264023.6,2MASS J02062493+2640237,31.6048,26.673,1187,95,1.07,0.17,26.58,21.45,4.78,0.49
SDSS J020735.60+135556.3,SDSS J020735.60+135556.3,31.8983,13.9323,2022,17,0.97,0.01,79.17,0.53,5.34,0.01
SDSS J020742.48+000056.2,2MASS J02074284+0000564,31.9285,0.0155,1016,27,1.31,0.01,7.86,0.75,4.08,0.04
2MASSW J0208183+254253,2MASS J02081833+2542533,32.0766,25.7148,1831,90,1.41,0.14,18.53,12.14,4.38,0.27
2MASSW J0208236+273740,2MASSW J0208236+273740,32.0986,27.6277,1796,103,1.43,0.14,17.99,12.21,4.35,0.28
PSO J032.2211+67.4179,Null,32.2202,67.4181,2748,151,1.66,0.16,64.18,24.31,4.78,0.23
2MASSW J0208549+250048,2MASSW J0208549+250048,32.2292,25.0135,1485,137,1.06,0.19,44.93,24.24,5.02,0.47
WISE J021010.25+400829.6,WISE J021010.25+400829.6,32.5437,40.1423,1063,90,1.07,0.17,23.32,19.96,4.72,0.5
PSO J033.2936+20.4493,Null,33.2934,20.4497,1264,117,1.06,0.17,31.45,23.28,4.86,0.49
2MASS J02132062+3648506C,PSO J033.3327+36.8105,33.3326,36.8104,1198,37,0.88,0.05,53.04,11.43,5.25,0.15
2MASSI J0218291-313322,2MASSI J0218291-313322,34.6213,-31.5564,1811,177,1.05,0.2,58.92,24.38,5.14,0.43
2MASS J02192196+0506306,2MASS J02192196+0506306,34.8415,5.1085,2219,200,1.02,0.18,69.06,24.35,5.23,0.38
SSSPM J0219-1939,SSSPM J0219-1938,34.8669,-19.6448,2206,202,1.02,0.19,68.65,24.58,5.23,0.39
WISEPC J022322.39-293258.1,WISEP J022322.39-293258.1,35.8406,-29.5477,638,41,1.11,0.14,12.58,13.24,4.42,0.47
HIP 11161B,2MASS J02233667+5240066,35.9029,52.6685,2130,21,1.0,0.02,80.11,4.11,5.32,0.04
2MASSI J0224367+253704,2MASSI J0224367+253704,36.1529,25.6179,1926,191,1.04,0.2,64.2,24.4,5.19,0.42
CFBDS J022644.65-062522.0,CFBDS J022644-062522,36.686,-6.4228,1161,102,1.07,0.17,26.29,21.75,4.78,0.49
2MASS J02271036-1624479,SIPS J0227-1624,36.793,-16.4132,1873,93,1.42,0.14,19.0,12.41,4.39,0.28
PSO J036.9069+08.5025,Null,36.9059,8.5029,1461,114,1.06,0.18,43.58,24.16,5.0,0.48
2MASSW J0228110+253738,2MASSI J0228110+253738,37.046,25.6273,2572,24,1.1,0.01,89.49,1.53,5.28,0.01
2MASS J02284243+1639329,2MASS J02284243+1639329,37.1768,16.6592,2439,211,1.07,0.19,79.07,26.01,5.25,0.38
2MASS J02292794-0053282,2MASS J02292794-0053282,37.3665,-0.8912,1912,153,1.45,0.15,18.69,10.54,4.35,0.26
PSO J037.4616+17.2761,Null,37.4614,17.2764,2584,126,1.51,0.14,50.52,19.88,4.76,0.26
2MASS J02301551+2704061,2MASS J02301551+2704061,37.5647,27.0684,2584,219,1.13,0.19,87.42,27.13,5.25,0.37
WISE J023038.90-022554.0,2MASS J02303865-0225546,37.6612,-2.4319,1252,105,1.07,0.17,30.06,23.03,4.84,0.49
2MASS J02304442-3027275,2MASS J02304442-3027275,37.6851,-30.4575,1781,91,1.42,0.14,17.62,11.93,4.35,0.28
DENIS J0230450-095305,2MASS J02304498-0953050,37.6875,-9.8848,2018,195,1.01,0.19,61.42,24.19,5.2,0.41
NLTT 8245B,2MASS J02332368+6545493,38.3486,65.7637,2563,26,1.09,0.02,91.22,4.94,5.3,0.04
SDSS J023547.56-084919.8,2MASS J02354756-0849198,38.9482,-8.8222,2099,198,1.01,0.19,64.02,24.28,5.21,0.4
GJ 1048B,HD  16270B,38.9997,-23.5223,2332,24,1.0,0.01,82.0,2.67,5.33,0.02
SDSSp J023617.93+004855.0,2MASS J02361794+0048548,39.0748,0.8152,1400,76,1.22,0.03,23.25,7.97,4.6,0.16
PSO J039.6352-21.7746,PSO J039.6352-21.7746,39.635,-21.7742,1886,88,1.3,0.12,25.96,10.32,4.6,0.25
2MASSI J0239424-173547,SIPS J0239-1735,39.9269,-17.5965,2263,201,1.03,0.18,70.91,24.47,5.24,0.38
2MASS J02411151-0326587,2MASS J02411151-0326587,40.298,-3.4497,1896,100,1.45,0.13,18.58,8.99,4.36,0.24
WISE J024124.73-365328.0,WISE J024124.73-365328.0,40.3522,-36.8915,747,9,1.29,0.01,4.97,0.33,3.89,0.03
LSPM J0241+2553B,LSPM J0241+2553B,40.4648,25.8958,1874,201,1.11,0.24,52.3,27.44,5.04,0.49
2MASSI J0241536-124106,2MASS J02415367-1241069,40.4738,-12.6853,1624,79,1.44,0.14,14.65,11.34,4.26,0.28
2MASSW J0242435+160739,2MASSW J0242435+160739,40.6815,16.1275,1987,202,1.04,0.21,65.98,24.78,5.2,0.42
SDSS J024256.98+212319.6,2MASS J02425693+2123204,40.7373,21.3888,1410,63,1.35,0.11,14.47,10.52,4.31,0.25
2MASSI J0243137-245329,2MASSI J0243137-245329,40.8071,-24.8917,890,69,1.08,0.17,19.27,18.05,4.63,0.51
WISE J024512.62-345047.8,WISE J024512.62-345047.8,41.3029,-34.8466,776,58,1.09,0.16,15.95,16.32,4.54,0.5
PSO J041.5426+01.9456,2MASS J02461021+0156447,41.5425,1.9458,1277,105,1.07,0.17,31.05,23.29,4.85,0.49
SDSS J024749.90-163112.6,2MASS J02474978-1631132,41.9576,-16.5203,1138,97,1.07,0.17,25.54,21.14,4.77,0.49
BR B0246-1703,LP  771-21,42.1708,-16.8561,2651,225,1.16,0.2,92.09,28.18,5.25,0.38
2MASS J0249-0557 c,2MASS J02495436-0558015,42.4766,-5.9671,1651,8,1.58,0.01,13.18,0.11,4.13,0.01
TVLM 831-154910,TVLM 831-154910,42.5486,-1.8582,2849,28,1.94,0.03,66.92,3.51,4.66,0.03
TVLM 831-161058,TVLM 831-161058,42.8052,0.7934,2556,215,1.11,0.19,85.95,26.61,5.26,0.37
PSO J042.8405+35.3726,Null,42.8401,35.3729,2186,113,1.33,0.14,33.25,13.68,4.68,0.27
TVLM 831-165166,TVLM 832-7464,42.9278,-1.0349,2780,209,1.25,0.19,101.6,28.85,5.23,0.34
TVLM 832-10443,TVLM 832-10443,43.1096,0.9396,2481,214,1.08,0.19,82.29,26.14,5.27,0.38
Teegarden's Star,NAME Teegarden's Star,43.2537,16.8813,2500,126,1.46,0.15,45.48,18.35,4.74,0.27
PSO J043.5395+02.3995,2MASS J02540788+0223563,43.5319,2.3989,608,37,1.11,0.13,11.8,12.48,4.39,0.46
DENIS-P J025503.3-470049,DENIS J025503.3-470049,43.7654,-47.0143,1164,94,1.06,0.17,26.08,21.11,4.77,0.49
HIP 13589B,2MASS J02550698+2136221,43.7792,21.6062,2784,33,1.22,0.02,102.86,2.16,5.25,0.01
2MASS J02572581-3105523,2MASS J02572581-3105523,44.3577,-31.0978,1219,97,1.07,0.17,27.72,22.2,4.8,0.49
2MASS J03001631+2130205,2MASS J03001631+2130205,45.068,21.5057,1464,78,1.37,0.12,12.59,10.9,4.3,0.27
2MASSI J0302012+135814,2MASSI J0302012+135814,45.5051,13.9706,1744,172,1.04,0.2,56.99,24.18,5.13,0.44
SDSSp J030321.24-000938.2,2MASS J03032123-0009378,45.8385,-0.1606,2457,222,1.12,0.19,81.62,26.67,5.25,0.38
SSSPM J0306-3648,SSSPM J0306-3648,46.5483,-36.798,2517,217,1.09,0.19,83.97,26.66,5.26,0.38
2MASSW J0306268+154514,2MASSW J0306268+154514,46.612,15.7536,1284,111,1.06,0.17,32.13,23.4,4.87,0.49
WISEPA J030724.57+290447.6,CWISE J030724.57+290447.2,46.8527,29.0802,807,63,1.08,0.16,17.18,16.88,4.58,0.51
WISEA J030845.36+325923.1,2MASS J03084507+3259277,47.188,32.9908,1978,198,1.05,0.21,65.25,24.6,5.19,0.42
2MASSW J0309088-194938,2MASSW J0309088-194938,47.2871,-19.8275,1622,162,1.05,0.2,51.87,24.37,5.09,0.45
2MASS J03101401-2756452,2MASSI J0310140-275645,47.5583,-27.946,1794,186,1.04,0.2,58.92,24.5,5.15,0.43
2MASS J03140344+1603056,2MASS J03140344+1603056,48.5143,16.0515,1926,94,1.44,0.14,19.27,12.49,4.38,0.27
PSO J048.9806+07.5414,2MASS J03155533+0732286,48.9804,7.5412,1444,132,1.06,0.18,43.02,24.31,5.0,0.48
PSO J049.1124+17.0885,2MASS J03162679+1705193,49.1116,17.0888,1261,105,1.07,0.17,30.35,23.05,4.84,0.49
2MASSI J0316451-284852,SIPS J0316-2848,49.1881,-28.8145,2094,21,1.18,0.02,42.54,2.52,4.9,0.04
2MASS J03185403-3421292,2MASSI J0318540-342129,49.7253,-34.3581,1097,37,1.32,0.08,8.59,7.57,4.11,0.26
2MASS J03201720-1026124,2MASS J03201720-1026124,50.0717,-10.4368,2658,224,1.17,0.2,92.27,28.33,5.25,0.38
LP 412-31,LP  412-31,50.2488,18.9063,2581,219,1.12,0.19,87.19,27.22,5.25,0.38
WISEA J032301.88+562558.0,2MASS J03230145+5626012,50.7568,56.4339,1371,114,1.07,0.17,38.87,24.22,4.95,0.49
2MASS J03231002-4631237,2MASS J03231002-4631237,50.7917,-46.5232,1874,27,1.4,0.03,19.32,1.57,4.4,0.05
2MASS J03250136+2253039,2MASSI J0325013+225303,51.2559,22.8843,1863,180,1.04,0.2,61.46,24.17,5.16,0.42
WISE J032547.72+083118.2,WISE J032547.72+083118.2,51.4485,8.5218,823,62,1.09,0.16,17.29,17.13,4.58,0.51
SDSS J032553.17+042540.1,2MASS J03255322+0425406,51.4718,4.4279,1053,86,1.07,0.17,23.22,19.51,4.72,0.5
2MASS J03264225-2102057,2MASS J03264225-2102057,51.6761,-21.035,1534,22,1.16,0.02,30.03,2.3,4.76,0.05
SDSSp J032817.38+003257.2,2MASS J03281738+0032572,52.0725,0.5492,1635,167,1.05,0.2,52.53,24.51,5.09,0.45
2MASSI J0328426+230205,2MASSI J0328426+230205,52.1776,23.0348,1329,112,1.06,0.17,35.26,23.91,4.9,0.49
PSO J052.2746+13.3754,2MASS J03290567+1322317,52.2736,13.3755,1115,17,1.03,0.01,28.41,2.13,4.84,0.04
SDSSp J033035.13-002534.5,2MASS J03303511-0025346,52.6464,-0.4264,1700,167,1.05,0.21,55.05,24.16,5.12,0.44
PSO J052.7214-03.8409,2MASS J03305326-0350280,52.7218,-3.8411,1093,90,1.06,0.17,24.24,20.08,4.74,0.49
2MASS J03320043-2317496,SIPS J0332-2317,53.0019,-23.2971,2559,214,1.12,0.19,85.75,26.7,5.26,0.37
LEHPM 3396,LEHPM 3396,53.5509,-49.8922,2264,201,1.03,0.18,70.47,24.55,5.24,0.38
2MASSI J0335020+234235,2MASSW J0335020+234235,53.7587,23.7098,2901,36,2.44,0.05,68.17,4.95,4.47,0.04
2MASS J03354535+0658058,2MASS J03354535+0658058,53.939,6.9683,2594,228,1.13,0.2,87.57,27.88,5.25,0.39
WISE J033651.90+282628.8,2MASS J03365177+2826315,54.216,28.4421,1064,87,1.07,0.17,23.44,19.76,4.73,0.5
2MASSW J0337036-175807,2MASSW J0337036-175807,54.2649,-17.9688,1545,78,1.41,0.13,14.63,11.29,4.28,0.28
WISE J033713.43+114824.5,2MASS J03371340+1148280,54.3058,11.8078,2604,218,1.14,0.19,88.96,27.2,5.25,0.37
PSO J054.8149-11.7792,2MASS J03391557-1146440,54.8149,-11.779,1712,168,1.05,0.2,55.62,24.09,5.12,0.44
LP 944-20,LP  944-20,54.8969,-35.4288,1950,96,1.44,0.14,19.85,13.02,4.39,0.28
PSO J055.0493-21.1704,PSO J055.0493-21.1704,55.0485,-21.1701,1132,96,1.06,0.17,25.4,20.95,4.76,0.49
PSO J057.2893+15.2433,PSO J057.2893+15.2433,57.2892,15.2437,1569,148,1.05,0.19,49.29,24.2,5.06,0.46
LHS 1604,LP  593-68,57.7501,-0.8791,2774,202,1.24,0.18,101.23,28.31,5.24,0.33
SDSS J035104.37+481046.8,2MASS J03510423+4810477,57.7676,48.1799,1359,118,1.06,0.18,37.54,24.12,4.93,0.49
YU-29133_55877,Gaia DR3 231029348869153664,58.0036,41.7957,2603,128,1.53,0.15,51.36,20.22,4.76,0.26
2MASS J03521086+0210479,2MASS J03521086+0210479,58.0453,2.18,2286,203,1.03,0.18,72.33,24.68,5.25,0.38
SDSS J035308.54+103056.0,2MASS J03530845+1030564,58.2853,10.5157,2121,197,1.01,0.19,64.66,24.18,5.21,0.39
2MASS J03540135+2316339,LSPM J0354+2316,58.5058,23.2761,2679,19,1.15,0.01,95.58,1.11,5.27,0.01
2MASSW J0355419+225702,2MASS J03554191+2257016,58.9247,22.9505,1480,62,1.01,0.02,51.96,9.73,5.12,0.1
2MASS J04012977-4050448,2MASS J04012977-4050448,60.3741,-40.8458,2527,214,1.1,0.19,84.27,26.61,5.26,0.37
WISE J040137.21+284951.7,2MASS J04013766+2849529,60.4066,28.8313,1785,176,1.04,0.2,59.12,24.26,5.15,0.43
WISE J040418.01+412735.6,2MASS J04041807+4127398,61.0753,41.461,1780,175,1.04,0.2,58.69,24.23,5.15,0.43
2MASS J04062677-3812102,2MASS J04062677-3812102,61.6115,-38.2028,1783,143,1.53,0.15,16.26,11.34,4.25,0.28
2MASS J04070752+1546457,2MASS J04070752+1546457,61.7814,15.7793,1718,86,1.43,0.14,16.03,11.68,4.3,0.28
2MASS J04070885+1514565,2MASS J04070885+1514565,61.7866,15.2491,1009,81,1.07,0.17,22.29,19.04,4.7,0.5
2MASS J04081032+0742494,2MASS J04081032+0742494,62.043,7.7137,2636,222,1.16,0.19,91.05,27.77,5.25,0.38
2MASSI J0408290-145033,SIPS J0408-1450,62.1211,-14.8427,1937,190,1.05,0.2,63.74,24.41,5.18,0.42
2MASSI J0409095+210439,2MASSI J0409095+210439,62.2897,21.0775,1721,20,1.16,0.02,33.96,2.16,4.82,0.04
Hya03,2MASS J04102390+1459104,62.5996,14.9862,1889,99,1.42,0.14,19.21,12.36,4.39,0.28
WISEPA J041054.48+141131.6,WISE J041054.48+141131.1,62.7269,14.1924,877,71,1.08,0.16,18.86,17.95,4.62,0.51
PSO J063.1519-02.8904,Null,63.1516,-2.8903,2117,201,1.01,0.19,64.79,24.35,5.22,0.4
2MASSI J0415195-093506,2MASSI J0415195-093506,63.8324,-9.5851,609,37,1.11,0.13,11.88,12.57,4.39,0.46
2MASS J04174743-2129191,2MASS J04174743-2129191,64.4477,-21.4886,2496,216,1.09,0.19,82.67,26.6,5.26,0.38
2MASS J04203904+2355502,2MASS J04203904+2355502,65.1626,23.9306,2084,23,1.18,0.02,42.25,2.57,4.9,0.04
2MASS J04270723+0859027,2MASS J04270723+0859027,66.7802,8.9841,2470,211,1.08,0.18,81.18,26.1,5.26,0.37
DENIS-P J04272708-1127143,2MASS J04272708-1127143,66.8629,-11.454,2713,212,1.2,0.19,96.67,28.15,5.25,0.35
CFHT-Hy-20,Cl* Melotte   25   CFHT      20,67.6613,13.1658,1168,18,1.03,0.01,29.99,2.46,4.87,0.04
2MASS J04305157-0849007,2MASS J04305157-0849007,67.7149,-8.8169,2787,21,1.22,0.01,103.25,1.06,5.25,0.01
Cl* Melotte 25 DKJ 14784e,2MASS J04332279+1223507,68.345,12.3974,2347,135,1.38,0.15,38.51,16.47,4.72,0.29
Hya12,2MASS J04354290+1323449,68.9288,13.3959,1720,94,0.97,0.02,61.89,7.48,5.24,0.06
2MASS J04362054-4218523,2MASS J04362054-4218523,69.0856,-42.3145,2483,214,1.09,0.19,82.15,26.33,5.26,0.38
2MASS J04362788-4114465,2MASS J04362788-4114465,69.1162,-41.2462,2588,170,1.62,0.21,45.48,24.31,4.65,0.35
PSO J069.4987+19.6346,Gaia DR3 3410602846507601920,69.4987,19.6348,2837,120,1.75,0.14,72.56,25.78,4.79,0.22
2MASSI J0439010-235308,2MASS J04390101-2353083,69.7542,-23.8857,1287,44,1.31,0.09,10.5,9.03,4.33,0.23
Hya04,2MASS J04421852+1754378,70.5772,17.9105,2302,38,1.01,0.01,78.01,2.97,5.3,0.02
2MASSI J0443058-320209,2MASS J04430581-3202090,70.7743,-32.0358,1466,126,1.06,0.18,44.55,24.03,5.01,0.47
2MASS J04433761+0002051,2MASSI J0443376+000205,70.9067,0.0348,2179,27,1.71,0.04,16.93,1.4,4.17,0.05
2MASS J04441479+0543573,2MASS J04441479+0543573,71.0616,5.7326,2758,23,1.21,0.01,101.08,1.36,5.25,0.01
PSO J071.4708+36.4930,2MASS J04455300+3629369,71.4707,36.4934,1358,120,1.06,0.18,37.12,24.13,4.93,0.49
2MASSI J0445538-304820,2MASS J04455387-3048204,71.4746,-30.8057,1713,83,1.44,0.14,15.71,11.56,4.29,0.28
WISE J044633.45-242956.8,2MASS J04463362-2430014,71.6399,-24.5002,1387,124,1.06,0.18,39.55,24.25,4.96,0.48
Hya09,2MASS J04463535+1451261,71.6473,14.8572,1817,32,0.96,0.01,64.25,3.13,5.26,0.03
PSO J071.8769-12.2713,2MASS J04473039-1216155,71.8767,-12.271,1442,136,1.06,0.18,42.31,24.4,4.99,0.48
2MASS J04474307-1936045,2MASS J04474307-1936045,71.9295,-19.6013,1737,130,1.42,0.14,17.64,12.5,4.34,0.28
WISEPA J044853.29-193548.5,WISE J044853.28-193548.6,72.2194,-19.5987,791,58,1.09,0.16,16.32,16.55,4.55,0.51
2MASSI J0451009-340214,2MASS J04510093-3402150,72.7539,-34.0375,1865,23,1.47,0.03,19.95,1.87,4.43,0.06
2MASSI J0453264-175154,2MASS J04532647-1751543,73.3603,-17.8651,1563,11,1.56,0.01,12.83,0.15,4.14,0.01
WISEPA J050003.05-122343.2,WISEP J050003.05-122343.2,75.0146,-12.397,563,35,1.11,0.12,11.05,11.42,4.36,0.44
2MASS J05002100+0330501,2MASS J05002100+0330501,75.0875,3.5139,1462,62,1.5,0.13,13.14,10.51,4.18,0.26
2MASS J05012406-0010452,2MASS J05012406-0010452,75.3504,-0.1793,1444,47,1.5,0.1,12.69,5.64,4.16,0.2
PSO J075.4182-17.8327,Null,75.4182,-17.8327,2521,147,1.64,0.19,38.26,18.32,4.57,0.31
2MASSI J0502134+144236,2MASS J05021345+1442367,75.556,14.7102,2650,22,1.14,0.01,93.81,1.49,5.28,0.01
PSO J076.7092+52.6087,2MASS J05065012+5236338,76.7089,52.6094,1045,85,1.07,0.17,23.19,19.46,4.72,0.5
PSO J077.1034+24.3810,2MASS J05082480+2422518,77.1034,24.381,1784,88,1.44,0.12,17.2,8.06,4.33,0.24
LSR J0510+2713,LSR J0510+2713,77.5837,27.2339,2715,210,1.2,0.19,97.23,28.03,5.25,0.35
2MASS J05103520-4208140,2MASS J05103524-4208146,77.647,-42.1374,981,79,1.07,0.17,21.61,18.87,4.69,0.5
2MASSI J0512063-294954,2MASS J05120636-2949540,78.0265,-29.8316,1349,55,1.42,0.11,12.09,8.17,4.18,0.28
PSO J078.9904+31.0171,PSO J078.9904+31.0171,78.9903,31.0172,1571,113,1.48,0.13,13.58,8.91,4.17,0.26
2MASS J05160945-0445499,2MASS J05160945-0445499,79.0392,-4.764,1131,92,1.06,0.17,25.26,20.53,4.76,0.49
2MASS J05161597-3332046,2MASS J05161597-3332046,79.0666,-33.5346,1423,63,1.35,0.11,12.15,10.24,4.31,0.26
2MASS J05170548-4154413,Gaia DR2 4806828785235308544,79.2728,-41.9115,2717,213,1.2,0.19,96.99,28.39,5.25,0.36
2MASS J05173766-3349027,LEHPM 2-183,79.4071,-33.8175,2602,222,1.14,0.19,88.36,27.4,5.25,0.38
2MASS J05184616-2756457,2MASSI J0518461-275645,79.6924,-27.946,2068,33,1.53,0.03,18.81,2.22,4.32,0.07
WISE J052126.29+102528.4,2MASS J05212615+1025328,80.3571,10.4267,764,55,1.09,0.16,15.67,16.11,4.53,0.5
UGPS J052127.27+364048.6,UGPS J052127.27+364048.6,80.3622,36.6834,522,28,1.12,0.12,10.3,10.04,4.33,0.42
PSO J080.3940+23.0999,Gaia DR3 3416336838301404672,80.394,23.1003,2447,36,1.25,0.02,56.42,3.95,4.97,0.04
WISEPA J052536.33+673952.3,WISE J052536.35+673952.6,81.4033,67.6647,785,61,1.09,0.16,16.28,16.52,4.55,0.5
2MASS J05264348-4455455,DENIS J052643.4-445545,81.6812,-44.9293,2412,212,1.06,0.19,77.88,25.89,5.25,0.38
WISE J052857.68+090104.4,WISE J052857.68+090104.4,82.2405,9.018,1616,117,1.5,0.13,13.93,9.37,4.17,0.26
2MASS J05341594-0631397,2MASS J05341594-0631397,83.5665,-6.5277,2921,337,2.28,0.38,81.05,45.82,4.62,0.27
2MASS J05345844-1511439,SIPS J0534-1511,83.7435,-15.1955,2259,204,1.03,0.19,70.43,24.75,5.24,0.39
2MASS J05361998-1920396,2MASSI J0536199-192039,84.0833,-19.3444,1892,44,1.42,0.04,19.33,1.7,4.4,0.06
