name,name_simbadable,ra_j2000_formula,dec_j2000_formula,teff_evo,teff_evo_err,radius_evo,radius_evo_err,mass_evo,mass_evo_err,logg_evo,logg_evo_err
SDSS J161611.36+521328.0,2MASS J16161134+5213277,244.0473,52.2244,2691,220,1.23,0.19,94.57,28.68,5.24,0.36
PSO J244.1180+06.3598,PSO J244.1180+06.3598,244.1184,6.3598,1165,100,1.06,0.17,26.52,21.61,4.78,0.49
SDSS J161731.65+401859.7,2MASS J16173168+4019003,244.3819,40.3167,1353,51,1.33,0.1,11.6,9.84,4.32,0.24
PSO J244.6801+08.7185,PSO J244.6801+08.7185,244.68,8.7186,1080,92,1.07,0.17,24.03,20.18,4.74,0.5
2MASS J16184503-1321297,DENIS J161845.0-132129,244.6876,-13.3583,2614,220,1.17,0.19,90.18,27.74,5.25,0.37
SDSS J161928.31+005011.9,2MASS J16192830+0050118,244.868,0.8366,2047,193,1.01,0.19,62.18,23.87,5.2,0.4
GJ 618.1B,GJ   618.1 B,245.109,-4.2755,1907,27,0.97,0.02,77.93,5.1,5.34,0.05
SDSS J162255.27+115924.1,2MASS J16225533+1159238,245.7304,11.99,1347,68,1.32,0.11,11.59,9.92,4.32,0.25
WISE J162359.70-050811.4,2MASS J16235981-0508066,245.9992,-5.1353,2178,197,1.01,0.18,67.54,24.13,5.23,0.38
SDSSp J162414.37+002915.6,2MASS J16241436+0029158,246.0597,0.4877,872,67,1.08,0.16,18.64,17.84,4.62,0.51
PSO J246.4222+15.4698,2MASS J16254152+1528140,246.4228,15.4704,977,81,1.07,0.17,21.5,18.92,4.69,0.5
SDSS J162603.03+211313.0,2MASS J16260302+2113132,246.5126,21.2204,1696,164,1.05,0.2,54.97,23.93,5.11,0.44
LSPM J1627+3328B,2MASS J16270165+3328217,246.7568,33.4726,2466,29,1.05,0.02,87.71,5.94,5.32,0.05
WISEPA J162725.64+325525.5,2MASS J16272573+3255288,246.8572,32.9245,885,69,1.08,0.17,18.94,17.97,4.63,0.51
SDSS J162838.77+230821.1,2MASS J16283855+2308241,247.1612,23.1395,746,53,1.1,0.15,15.07,15.75,4.51,0.5
PSO J247.3273+03.5932,2MASS J16291840+0335371,247.3267,3.5936,1085,89,1.07,0.17,23.88,19.94,4.74,0.5
SDSS J163030.53+434404.0,2MASS J16303054+4344032,247.6273,43.7343,1063,39,1.32,0.09,8.12,7.47,4.08,0.26
2MASS J16304139+0938446,2MASS J16304139+0938446,247.6725,9.6457,2239,204,1.02,0.19,70.13,24.72,5.24,0.39
2MASSW J1632291+190441,2MASS J16322911+1904407,248.1216,19.0779,1163,94,1.07,0.17,25.73,21.11,4.77,0.49
WISE J163236.47+032927.3,2MASS J16323642+0329269,248.1518,3.4908,1084,90,1.07,0.17,24.02,20.04,4.74,0.5
SDSS J163239.34+415004.3,SDSS J163239.34+415004.3,248.1641,41.8346,1367,120,1.06,0.18,38.36,24.15,4.94,0.48
SDSS J163256.13+350507.2,2MASS J16325610+3505076,248.2338,35.0854,2225,203,1.02,0.19,69.58,24.57,5.24,0.39
SDSS J163359.23-064056.5,2MASS J16335933-0640552,248.4972,-6.6821,1233,50,1.36,0.09,10.18,8.93,4.15,0.26
2MASS J16351919+4223053,2MASSI J1635191+422305,248.83,42.3848,2970,192,1.47,0.19,124.27,33.01,5.18,0.31
SDSSp J163600.79-003452.6,2MASS J16360078-0034525,249.0035,-0.5812,2297,211,1.06,0.19,73.09,25.3,5.24,0.38
WISE J163645.56-074325.1,WISE J163645.56-074325.1,249.1902,-7.7234,1071,31,1.21,0.01,13.14,1.62,4.36,0.05
2MASS J16382073+1327354,2MASS J16382073+1327354,249.5864,13.4597,1684,88,1.43,0.14,15.65,11.92,4.29,0.28
HIP 81910B,2MASS J16434951-2648393,250.9563,-26.8109,3157,30,1.81,0.02,166.44,2.91,5.12,0.01
2MASS J16452207+3004071,2MASSI J1645220+300407,251.3419,30.0686,1712,18,1.16,0.02,33.81,2.14,4.82,0.04
2MASSW J1645221-131951,2MASS J16452211-1319516,251.3421,-13.3312,1780,88,1.42,0.14,17.33,12.09,4.35,0.28
WISEPA J164715.59+563208.2,2MASS J16471580+5632057,251.8158,56.535,1275,102,1.07,0.17,30.98,23.35,4.85,0.49
2MASS J16490419+0444571,2MASS J16490419+0444571,252.2675,4.7492,2551,222,1.11,0.19,85.91,27.12,5.26,0.38
