NAME,RA,DEC,LIT_SPT,Discovery Ref.,SIMBAD_TEFF,SIMBAD_LOGG,SIMBAD_FEH,SIMBAD_PARM_CITATION,GAIA_TEFF,GAIA_TEFF_LOWER,GAIA_TEFF_UPPER,GAIA_LOGG,GAIA_LOGG_LOWER,GAIA_LOGG_UPPER,GAIA_FEH,GAIA_FEH_LOWER,GAIA_FEH_UPPER
SDSS J124904.38+100413.4,192.268,10.071,sdM7,Lodieu et al. 2017,,,,,,,,,,,,,
ULAS J124947.04+095019.8,192.445,9.838,sdL1,Zhang et al. 2017a,,,,,,,,,,,,,
ULAS J125134.40-005556.7,192.894,-0.932,sdM8,Lodieu et al. 2017,,,,,,,,,,,,,
ULAS J125226.62+092920.1,193.111,9.489,sdL0.5,Zhang et al. 2018c,,,,,,,,,,,,,
SDSS J125508.35+294939.1,193.785,29.828,usdM7,Ahumada et al. 2020,,,,,,,,,,,,,
SSSPM J1256-1408,194.058,-14.145,sdM9,Kirkpatrick et al. 2016,,,,,,,,,,,,,
SDSS J125637.13−022452.4,194.155,-2.415,usdL3,Zhang et al. 2013,,,,,,,,,,,,,
SDSS J125938.97+493404.2,194.913,49.568,esdM7,West et al. 2011,,,,,,,,,,,,,
2MASSW J1300425+191235,195.177,19.210,sdL1,Bardalez Gagliuffi et al. 2014,2200.000,,,Blake et al. 2010,,,,,,,,,
SDSS J130615.20+045908.8,196.563,4.986,sdM7,Lodieu et al. 2017,,,,,,,,,,,,,
ULAS J130710.22+151103.4,196.793,15.184,sdL8,Zhang et al. 2018c,,,,,,,,,,,,,
SDSS J130852.73+391142.8,197.220,39.195,sdM7,West et al. 2011,,,,,,,,,,,,,
ULAS J131610.28+075553.0,199.043,7.931,sdT6.5,Burningham et al. 2014,,,,,,,,,,,,,
ULAS J131705.66+091016.9,199.274,9.172,esdM7,Lodieu et al. 2012,,,,,,,,,,,,,
SDSS J131822.82-011150.1,199.595,-1.197,esdM8,Lodieu et al. 2017,,,,,,,,,,,,,
ULAS J131943.77+120900.2,199.932,12.150,sdT5,Burningham et al. 2010,,,,,,,,,,,,,
ULAS J132012.11+053943.6,200.051,5.662,esdM7.5,Lodieu et al. 2017,,,,,,,,,,,,,
ULAS J132823.25+302144.8,202.098,30.362,sdM7,Lodieu et al. 2017,,,,,,,,,,,,,
2MASS J13334822+2735115,203.451,27.586,sdL1,Kirkpatrick et al. 2016,,,,,,,,,,,,,
SDSS J133837.01-022908.4,204.654,-2.486,sdL7,Zhang et al. 2017a,,,,,,,,,,,,,
ULAS J134206.86+053724.9,205.529,5.624,sdL0.5,Zhang et al. 2018c,,,,,,,,,,,,,
ULAS J134423.98+280603.8,206.100,28.101,sdL4,Zhang et al. 2018c,,,,,,,,,,,,,
WISE J134555.25+022247.2,206.480,2.380,esdM7.5,Lodieu et al. 2017,,,,,,,,,,,,,
SDSS J134749.74+333601.7,206.957,33.600,sdL0,West et al. 2011,,,,,,,,,,,,,
ULAS J134852.93+101611.8,207.221,10.270,sdL0,Zhang et al. 2018c,,,,,,,,,,,,,
SDSS J135053.40+235024.3,207.723,23.840,sdM7,Lodieu et al. 2017,,,,,,,,,,,,,
ULAS J135058.86+081506.8,207.745,8.252,usdL3,Burningham et al. 2010,,,,,,,,,,,,,
2MASS J13512249+1419168,207.843,14.321,esdM7,Zhang et al. 2018c,,,,,,,,,,,,,
LSPM J1351+5506,207.869,55.116,esdM7,Lodieu et al. 2017,,,,,3069.959,3064.389,3077.022,5.268,5.261,5.273,-0.957,-0.971,-0.937
ULAS J135216.31+312327.0,208.069,31.391,esdL0.5,Zhang et al. 2018c,,,,,,,,,,,,,
ULAS J135359.58+011856.7,208.498,1.316,sdL0,Zhang et al. 2018c,,,,,,,,,,,,,
WISEA J135501.90−825838.9,208.763,-82.977,sdL5,Kirkpatrick et al. 2016,,,,,,,,,,,,,
SDSS J141053.86+621742.6,212.725,62.295,esdM8,West et al. 2008,,,,,,,,,,,,,
2MASS J14114474-4524153,212.936,-45.404,sdM9,Kirkpatrick et al. 2016,,,,,,,,,,,,,
2MASS J14120397+1216100,213.017,12.269,sdL5,Zhang et al. 2018c,,,,,,,,,,,,,
SDSS J141405.74−014202.7,213.524,-1.701,esdL0,Lodieu et al. 2017,,,,,,,,,,,,,
ULAS J141623.94+134836.3,214.100,13.810,sdT7.5,Burgasser et al. 2010,,,,,,,,,,,,,
SDSS J141624.08+134826.7,214.100,13.807,sdL7,Abazajian et al. 2009,,,,,,,,,,,,,
2MASS J14183233+0253259,214.635,2.890,sdL0,Zhang et al. 2018c,,,,,,,,,,,,,
ULAS J142320.79+011638.2,215.837,1.277,sdT8,Mace et al. 2013,680.000,5.000,-0.360,Burningham et al. 2013,,,,,,,,,
