source,value,parameter,reference,unit
2MASS J02530084+1652532,5.22,log g,Fili15,dex
2MASS J02535980+3206373,4.49,log g,Fili15,dex
WISEPA J025409.45+022359.1,4.75,log g,Fili15,dex
DENIS-P J0255-4700,5.09,log g,Fili15,dex
2MASS J03185403-3421292,5.05,log g,Fili15,dex
2MASS J03205965+1854233,5.22,log g,Fili15,dex
2MASS J03231002-4631237,4.29,log g,Fili15,dex
SDSS J032553.17+042540.1,5.0,log g,Fili15,dex
2MASS J03264225-2102057,4.39,log g,Fili15,dex
2MASSI J0328426+230205,5.13,log g,Fili15,dex
2MASS J03341218-4953322,5.22,log g,Fili15,dex
LP 944-20,4.48,log g,Fili15,dex
2MASP J0345432+254023,5.22,log g,Fili15,dex
2MASS J03510004-0052452,5.19,log g,Fili15,dex
2MASS J03552337+1133437,4.45,log g,Fili15,dex
2MASSI J0415195-093506,4.83,log g,Fili15,dex
2MASSI J0428510-225323,5.22,log g,Fili15,dex
2MASS J04351612-1606574,5.19,log g,Fili15,dex
2MASS J04362788-4114465,4.3,log g,Fili15,dex
2MASSI J0439010-235308,5.04,log g,Fili15,dex
2MASS J04433764+0002040,4.19,log g,Fili15,dex
2MASSI J0445538-304820,5.19,log g,Fili15,dex
2MASSI J0451009-340214,5.22,log g,Fili15,dex
2MASS J05002100+0330501,5.2,log g,Fili15,dex
2MASS J05012406-0010452,4.36,log g,Fili15,dex
2MASS J05160945-0445499,5.02,log g,Fili15,dex
2MASSI J0523382-140302,5.21,log g,Fili15,dex
SDSS J053951.99-005902.0,5.18,log g,Fili15,dex
2MASS J05591914-1404488,5.09,log g,Fili15,dex
LSR 0602+3910,4.46,log g,Fili15,dex
2MASS J06085283-2753583,4.51,log g,Fili15,dex
Gl 229B,4.98,log g,Fili15,dex
AB Pic b,4.19,log g,Fili15,dex
2MASS J06244595-4521548,5.14,log g,Fili15,dex
2MASS J06411840-4322329,5.2,log g,Fili15,dex
DENIS-P J0652197-253450,5.22,log g,Fili15,dex
2MASS J07075327-4900503,5.22,log g,Fili15,dex
UGPS J072227.51-054031.2,4.68,log g,Fili15,dex
2MASSI J0727182+171001,4.95,log g,Fili15,dex
2MASS J07290002-3954043,4.89,log g,Fili15,dex
SDSS J074201.41+205520.5,4.98,log g,Fili15,dex
DENIS-P J0751164-253043,5.22,log g,Fili15,dex
2MASS J07522390+1612157,4.48,log g,Fili15,dex
DENIS J081730.0-615520,5.0,log g,Fili15,dex
2MASSI J0825196+211552,5.11,log g,Fili15,dex
GJ 1111,5.2,log g,Fili15,dex
SDSS J083048.80+012831.1,5.02,log g,Fili15,dex
LHS 2021,5.22,log g,Fili15,dex
SDSSp J083008.12+482847.4,5.02,log g,Fili15,dex
2MASSI J0835425-081923,5.19,log g,Fili15,dex
2MASSI J0847287-153237,5.19,log g,Fili15,dex
2MASS J08533619-0329321,5.22,log g,Fili15,dex
2MASSI J0859254-194926,5.06,log g,Fili15,dex
2MASSI J0937347+293142,4.97,log g,Fili15,dex
2MASS J09393548-2448279,4.84,log g,Fili15,dex
2MASS J09490860-1545485,5.01,log g,Fili15,dex
G 196-3B,4.54,log g,Fili15,dex
2MASS J10073369-4555147,5.01,log g,Fili15,dex
2MASSI J1010148-040649,5.07,log g,Fili15,dex
HD 89744B,5.22,log g,Fili15,dex
2MASS J10224821+5825453,4.45,log g,Fili15,dex
2MASSW J1036530-344138,5.04,log g,Fili15,dex
2MASSI J1047538+212423,4.96,log g,Fili15,dex
DENIS-P J1048.0-3956,5.22,log g,Fili15,dex
Luhman 16A,4.99,log g,Fili15,dex
Luhman 16B,4.95,log g,Fili15,dex
2MASS J10562886+0700527,5.19,log g,Fili15,dex
DENIS-P J1058.7-1548,5.2,log g,Fili15,dex
TWA 28,4.14,log g,Fili15,dex
SDSS J111010.01+011613.1,4.15,log g,Fili15,dex
2MASS J11145133-2618235,4.82,log g,Fili15,dex
TWA 26,4.13,log g,Fili15,dex
2MASS J11544223-3400390,4.51,log g,Fili15,dex
2MASSW J1155395-372735,5.19,log g,Fili15,dex
2MASS J12074836-3900043,4.16,log g,Fili15,dex
TWA 27A,4.14,log g,Fili15,dex
TWA 27B,3.75,log g,Fili15,dex
2MASSI J1217110-031113,4.97,log g,Fili15,dex
2MASS J12373919+6526148,4.95,log g,Fili15,dex
TWA 29,4.13,log g,Fili15,dex
SDSSp J125453.90-012247.4,5.02,log g,Fili15,dex
Ross 458C,4.44,log g,Fili15,dex
2MASS J13204427+0409045,5.21,log g,Fili15,dex
SDSSp J132629.82-003831.5,5.1,log g,Fili15,dex
SDSSp J134646.45-003150.4,5.01,log g,Fili15,dex
2MASS J13595510-4034582,5.19,log g,Fili15,dex
2MASS J14112131-2119503,4.48,log g,Fili15,dex
ULAS J141623.94+134836.3,4.8,log g,Fili15,dex
SDSS J141659.78+500626.4,5.17,log g,Fili15,dex
GD 165B,5.19,log g,Fili15,dex
DENIS-P J142527.97-365023.4,4.43,log g,Fili15,dex
LHS 2924,5.22,log g,Fili15,dex
LHS 377,5.2,log g,Fili15,dex
2MASS J14392837+1929150,5.22,log g,Fili15,dex
LSPM J1440+1339,5.21,log g,Fili15,dex
2MASS J14482563+1031590,5.17,log g,Fili15,dex
LHS 3003,5.22,log g,Fili15,dex
Gliese 570D,4.9,log g,Fili15,dex
TVLM 513-46546,5.22,log g,Fili15,dex
2MASS J15031961+2525196,5.01,log g,Fili15,dex
CFBDS J150411+102717,5.0,log g,Fili15,dex
2MASSW J1506544+132106,5.21,log g,Fili15,dex
2MASSW J1507476-162738,5.18,log g,Fili15,dex
TVLM 868-110639,5.22,log g,Fili15,dex
2MASSW J1515008+484742,5.15,log g,Fili15,dex
Gl 584C,5.09,log g,Fili15,dex
2MASSI J1526140+204341,5.1,log g,Fili15,dex
DENIS-P J153941.96-052042.4,5.19,log g,Fili15,dex
2MASS J15462718-3325111,5.0,log g,Fili15,dex
2MASSW J1552591+294849,4.48,log g,Fili15,dex
2MASSW J1555157-095605,5.22,log g,Fili15,dex
2MASS J16150413+1340079,4.97,log g,Fili15,dex
SDSSp J162414.37+002915.6,4.98,log g,Fili15,dex
2MASS J16262034+3925190,5.22,log g,Fili15,dex
2MASSW J1632291+190441,5.08,log g,Fili15,dex
WISEPA J164715.59+563208.2,4.89,log g,Fili15,dex
vB 8,5.21,log g,Fili15,dex
LSPM J1658+7027,5.22,log g,Fili15,dex
2MASSI J1726000+153819,4.4,log g,Fili15,dex
SDSSp J175032.96+175903.9,5.02,log g,Fili15,dex
2MASS J18283572-4849046,5.01,log g,Fili15,dex
2MASS J18353790+3259545,5.22,log g,Fili15,dex
2MASSW J1841086+311727,5.21,log g,Fili15,dex
2MASS J18432213+4040209,5.2,log g,Fili15,dex
Gliese 752 B,5.22,log g,Fili15,dex
2MASS J20004841-7523070,4.19,log g,Fili15,dex
SDSS J204749.61-071818.3,5.0,log g,Fili15,dex
2MASSI J2057540-025230,5.22,log g,Fili15,dex
2MASSI J2104149-103736,5.21,log g,Fili15,dex
PSO J318.5338-22.8603,3.9,log g,Fili15,dex
2MASS J21265040-8140293,4.4,log g,Fili15,dex
HB 2124-4228,5.22,log g,Fili15,dex
2MASS J21392676+0220226,5.01,log g,Fili15,dex
HN Peg B,4.52,log g,Fili15,dex
2MASS J21481628+4003593,5.13,log g,Fili15,dex
2MASSW J2206450-421721,4.44,log g,Fili15,dex
2MASSW J2208136+292121,4.44,log g,Fili15,dex
2MASSW J2224438-015852,5.18,log g,Fili15,dex
2MASS J22282889-4310262,4.97,log g,Fili15,dex
2MASS J22373255+3922398,5.22,log g,Fili15,dex
2MASSW J2244316+204343,4.21,log g,Fili15,dex
2MASS J23062928-0502285,5.22,log g,Fili15,dex
2MASS J23224684-3133231,4.4,log g,Fili15,dex
2MASS J23225299-6151275,4.23,log g,Fili15,dex
2MASS J23515044-2537367,5.22,log g,Fili15,dex
APMPM J2354-3316C,5.22,log g,Fili15,dex
SDSS J000013.54+255418.6,1227.0,T eff,Fili15,K
2MASS J00034227-2822410,2871.0,T eff,Fili15,K
2MASS J00040288-6410358,1896.0,T eff,Fili15,K
2MASS J00242463-0158201,2390.0,T eff,Fili15,K
2MASS J00274197+0503417,1945.0,T eff,Fili15,K
2MASSW J0030300-145033,1466.0,T eff,Fili15,K
2MASS J00332386-1521309,1887.0,T eff,Fili15,K
2MASS J00345157+0523050,899.0,T eff,Fili15,K
2MASSW J0036159+182110,1869.0,T eff,Fili15,K
HD 3651B,793.0,T eff,Fili15,K
2MASSW J0045214+163445,1987.0,T eff,Fili15,K
WISEP J004701.06+680352.1,1227.0,T eff,Fili15,K
2MASS J00501994-3322402,836.0,T eff,Fili15,K
2MASS J00584253-0651239,1864.0,T eff,Fili15,K
LHS 132,2636.0,T eff,Fili15,K
2MASSI J0103320+193536,1231.0,T eff,Fili15,K
SDSSp J010752.33+004156.1,1385.0,T eff,Fili15,K
GU Psc b,981.0,T eff,Fili15,K
2MASSI J0117474-340325,1917.0,T eff,Fili15,K
2MASS J01415823-4633574,1917.0,T eff,Fili15,K
SDSS J015141.69+124429.6,1196.0,T eff,Fili15,K
SDSS J020742.48+000056.2,1201.0,T eff,Fili15,K
2MASS J02103857-3015313,1598.0,T eff,Fili15,K
2MASS J02340093-6442068,1850.0,T eff,Fili15,K
2MASS J02411151-0326587,1788.0,T eff,Fili15,K
2MASSI J0243137-245329,972.0,T eff,Fili15,K
LP 771-21,2365.0,T eff,Fili15,K
2MASS J02511327+0047364,2811.0,T eff,Fili15,K
2MASS J02530084+1652532,2688.0,T eff,Fili15,K
2MASS J02535980+3206373,2628.0,T eff,Fili15,K
WISEPA J025409.45+022359.1,621.0,T eff,Fili15,K
DENIS-P J0255-4700,1290.0,T eff,Fili15,K
2MASS J03185403-3421292,1344.0,T eff,Fili15,K
2MASS J03205965+1854233,2586.0,T eff,Fili15,K
2MASS J03231002-4631237,2039.0,T eff,Fili15,K
SDSS J032553.17+042540.1,1015.0,T eff,Fili15,K
2MASS J03264225-2102057,1381.0,T eff,Fili15,K
2MASSI J0328426+230205,1466.0,T eff,Fili15,K
2MASS J03341218-4953322,2173.0,T eff,Fili15,K
LP 944-20,1942.0,T eff,Fili15,K
2MASP J0345432+254023,2213.0,T eff,Fili15,K
2MASS J03510004-0052452,2810.0,T eff,Fili15,K
2MASS J03552337+1133437,1478.0,T eff,Fili15,K
2MASSI J0415195-093506,677.0,T eff,Fili15,K
2MASSI J0428510-225323,2400.0,T eff,Fili15,K
2MASS J04351612-1606574,2795.0,T eff,Fili15,K
2MASS J04362788-4114465,2445.0,T eff,Fili15,K
2MASSI J0439010-235308,1290.0,T eff,Fili15,K
2MASS J04433764+0002040,2230.0,T eff,Fili15,K
2MASSI J0445538-304820,1809.0,T eff,Fili15,K
2MASSI J0451009-340214,2155.0,T eff,Fili15,K
2MASS J05002100+0330501,1793.0,T eff,Fili15,K
2MASS J05012406-0010452,1560.0,T eff,Fili15,K
2MASS J05160945-0445499,1211.0,T eff,Fili15,K
2MASSI J0523382-140302,1939.0,T eff,Fili15,K
SDSS J053951.99-005902.0,1659.0,T eff,Fili15,K
2MASS J05591914-1404488,1301.0,T eff,Fili15,K
LSR 0602+3910,1854.0,T eff,Fili15,K
2MASS J06085283-2753583,2145.0,T eff,Fili15,K
Gl 229B,927.0,T eff,Fili15,K
AB Pic b,1674.0,T eff,Fili15,K
2MASS J06244595-4521548,1501.0,T eff,Fili15,K
2MASS J06411840-4322329,1927.0,T eff,Fili15,K
DENIS-P J0652197-253450,2231.0,T eff,Fili15,K
2MASS J07075327-4900503,2151.0,T eff,Fili15,K
UGPS J072227.51-054031.2,569.0,T eff,Fili15,K
2MASSI J0727182+171001,845.0,T eff,Fili15,K
2MASS J07290002-3954043,752.0,T eff,Fili15,K
SDSS J074201.41+205520.5,958.0,T eff,Fili15,K
DENIS-P J0751164-253043,2083.0,T eff,Fili15,K
2MASS J07522390+1612157,2731.0,T eff,Fili15,K
DENIS J081730.0-615520,1004.0,T eff,Fili15,K
2MASSI J0825196+211552,1341.0,T eff,Fili15,K
GJ 1111,2752.0,T eff,Fili15,K
SDSS J083048.80+012831.1,1138.0,T eff,Fili15,K
LHS 2021,2599.0,T eff,Fili15,K
SDSSp J083008.12+482847.4,1258.0,T eff,Fili15,K
2MASSI J0835425-081923,1754.0,T eff,Fili15,K
2MASSI J0847287-153237,1794.0,T eff,Fili15,K
2MASS J08533619-0329321,2320.0,T eff,Fili15,K
2MASSI J0859254-194926,1374.0,T eff,Fili15,K
2MASSI J0937347+293142,881.0,T eff,Fili15,K
2MASS J09393548-2448279,686.0,T eff,Fili15,K
2MASS J09490860-1545485,1125.0,T eff,Fili15,K
G 196-3B,1789.0,T eff,Fili15,K
2MASS J10073369-4555147,1017.0,T eff,Fili15,K
2MASSI J1010148-040649,1416.0,T eff,Fili15,K
HD 89744B,2183.0,T eff,Fili15,K
2MASS J10224821+5825453,1820.0,T eff,Fili15,K
2MASSW J1036530-344138,1368.0,T eff,Fili15,K
2MASSI J1047538+212423,880.0,T eff,Fili15,K
DENIS-P J1048.0-3956,2307.0,T eff,Fili15,K
Luhman 16A,1334.0,T eff,Fili15,K
Luhman 16B,1261.0,T eff,Fili15,K
2MASS J10562886+0700527,2517.0,T eff,Fili15,K
DENIS-P J1058.7-1548,1809.0,T eff,Fili15,K
TWA 28,2670.0,T eff,Fili15,K
SDSS J111010.01+011613.1,926.0,T eff,Fili15,K
2MASS J11145133-2618235,669.0,T eff,Fili15,K
TWA 26,2552.0,T eff,Fili15,K
2MASS J11544223-3400390,2155.0,T eff,Fili15,K
2MASSW J1155395-372735,1793.0,T eff,Fili15,K
2MASS J12074836-3900043,1961.0,T eff,Fili15,K
TWA 27A,2637.0,T eff,Fili15,K
TWA 27B,994.0,T eff,Fili15,K
2MASSI J1217110-031113,885.0,T eff,Fili15,K
2MASS J12373919+6526148,851.0,T eff,Fili15,K
TWA 29,2391.0,T eff,Fili15,K
SDSSp J125453.90-012247.4,1219.0,T eff,Fili15,K
Ross 458C,721.0,T eff,Fili15,K
2MASS J13204427+0409045,1913.0,T eff,Fili15,K
SDSSp J132629.82-003831.5,1381.0,T eff,Fili15,K
SDSSp J134646.45-003150.4,1011.0,T eff,Fili15,K
2MASS J13595510-4034582,1799.0,T eff,Fili15,K
2MASS J14112131-2119503,2694.0,T eff,Fili15,K
ULAS J141623.94+134836.3,656.0,T eff,Fili15,K
SDSS J141659.78+500626.4,1595.0,T eff,Fili15,K
GD 165B,1755.0,T eff,Fili15,K
DENIS-P J142527.97-365023.4,1535.0,T eff,Fili15,K
LHS 2924,2275.0,T eff,Fili15,K
LHS 377,2769.0,T eff,Fili15,K
2MASS J14392837+1929150,2121.0,T eff,Fili15,K
LSPM J1440+1339,2672.0,T eff,Fili15,K
2MASS J14482563+1031590,1623.0,T eff,Fili15,K
LHS 3003,2511.0,T eff,Fili15,K
Gliese 570D,759.0,T eff,Fili15,K
TVLM 513-46546,2242.0,T eff,Fili15,K
2MASS J15031961+2525196,1016.0,T eff,Fili15,K
CFBDS J150411+102717,992.0,T eff,Fili15,K
2MASSW J1506544+132106,2004.0,T eff,Fili15,K
2MASSW J1507476-162738,1607.0,T eff,Fili15,K
TVLM 868-110639,2377.0,T eff,Fili15,K
2MASSW J1515008+484742,1505.0,T eff,Fili15,K
Gl 584C,1295.0,T eff,Fili15,K
2MASSI J1526140+204341,1518.0,T eff,Fili15,K
DENIS-P J153941.96-052042.4,1753.0,T eff,Fili15,K
2MASS J15462718-3325111,1002.0,T eff,Fili15,K
2MASSW J1552591+294849,1956.0,T eff,Fili15,K
2MASSW J1555157-095605,2102.0,T eff,Fili15,K
2MASS J16150413+1340079,906.0,T eff,Fili15,K
SDSSp J162414.37+002915.6,936.0,T eff,Fili15,K
2MASS J16262034+3925190,2103.0,T eff,Fili15,K
2MASSW J1632291+190441,1279.0,T eff,Fili15,K
WISEPA J164715.59+563208.2,875.0,T eff,Fili15,K
vB 8,2639.0,T eff,Fili15,K
LSPM J1658+7027,2181.0,T eff,Fili15,K
