code_ref,ADSkey_ref,Paperskey_ref,citetext_ref,title_ref
Curr19,2019ApJ...877L...3C,Currie:2019ko,Currie et al. (2019),"No Clear, Direct Evidence for Multiple Protoplanets Orbiting LkCa 15: LkCa 15 bcd are Likely Inner Disk Signals"
Cush05,2005ApJ...623.1115C,Cushing:2005ed,Cushing Rayner & Vacca (2005),"An Infrared Spectroscopic Sequence of M, L, and T Dwarfs"
Cush06a,2006AJ....131.1797C,Cushing:2006bu,Cushing & Vacca (2006),The Schizophrenic Spectrum of LSR 1610-0040: A Peculiar M Dwarf/Subdwarf
Cush09,2009ApJ...696..986C,Cushing:2009ds,Cushing et al. (2009),2MASS J06164006-6407194: The First Outer Halo L Subdwarf
Cush11,2011ApJ...743...50C,Cushing:2011dk,Cushing et al. (2011),The Discovery of Y Dwarfs using Data from the Wide-field Infrared Survey Explorer (WISE)
Cush14,2014AJ....147..113C,Cushing:2014be,Cushing et al. (2014),Three New Cool Brown Dwarfs Discovered with the Wide-field Infrared Survey Explorer (WISE) and an Improved Spectrum of the Y0 Dwarf WISE J041022.71+150248.4
Cush16,2016ApJ...823..152C,Cushing:2016gi,Cushing et al. (2016),The First Detection of Photometric Variability in a Y Dwarf: WISE J140518.39+553421.3
Cutr03,2003tmc..book.....C,Cutri:2003vr,Cutri et al. (2003),2MASS All Sky Catalog of point sources.
Cutr12,2012yCat.2311....0C,Cutri:2012wm,Cutri et al. (2012),VizieR Online Data Catalog: WISE All-Sky Data Release (Cutri+ 2012)
Cutr13,2014yCat.2328....0C,Cutri:2014wx,Cutri et al. (2013),VizieR Online Data Catalog: AllWISE Data Release (Cutri+ 2013)
Daem17,2017A&A...608A..71D,Daemgen:2017bh,Daemgen et al (2017),High signal-to-noise spectral characterization of the planetary-mass object HD 106906 b
Dahn02,2002AJ....124.1170D,Dahn:2002fu,Dahn et al. (2002),Astrometry and Photometry for Cool Dwarfs and Brown Dwarfs
Dahn08,2008ApJ...686..548D,Dahn:2008bo,Dahn et al. (2008),Trigonometric Parallaxes for Two Late-Type Subdwarfs: LSR 1425+71 (sdM8.0) and the Binary LSR 1610-00 (sd?M6pec)
Dahn17,2017AJ....154..147D,Dahn:2017gu,Dahn et al. (2017),CCD Parallaxes for 309 Late-type Dwarfs and Subdwarfs
Dahn86,1986AJ.....91..621D,Dahn:1986dt,Dahn Liebert & Harrington (1986),LHS 292 and the luminosity function of the nearby M dwarfs.
Daws14,2014MNRAS.442.1586D,Dawson:2014hl,Dawson et al. (2014),Near-infrared spectroscopy of young brown dwarfs in upper Scorpius
