code_ref,ADSkey_ref,Paperskey_ref,citetext_ref,title_ref
Lein01a,2001A&A...367..183L,Leinert:2001dy,Leinert et al. (2001a),Dynamical mass determination for the very low mass stars LHS 1070 B and C
Lein94,1994A&A...291L..47L,Leinert:1994ti,Leinert et al. (1994),Two faint companions to the nearby low-mass star LHS 1070.
Lein97,1997A&A...325..159L,Leinert:1997te,Leinert et al. (1997),A search for companions to nearby southern M dwarfs with near-infrared speckle interferometry.
Lepi02b,2002AJ....124.1190L,Lepine:2002gc,Lépine Shara & Rich (2002b),New High Proper Motion Stars from the Digitized Sky Survey. I. Northern Stars with 0.5`` yr$^{-1}$&lt;{ensuremath{mu}}&lt;2.0'' yr$^{-1}$ at Low Galactic Latitudes
Lepi02c,2002ApJ...581L..47L,Lepine:2002kp,Lépine et al. (2002),Discovery of an M8.5 Dwarf with Proper Motion {ensuremath{mu}} = 2.38'' per Year
Lepi03a,2003AJ....125.1598L,Lepine:2003hu,Lépine Rich & Shara (2003a),"Spectroscopy of New High Proper Motion Stars in the Northern Sky. I. New Nearby Stars, New High-Velocity Stars, and an Enhanced Classification Scheme for M Dwarfs"
Lepi03b,2003ApJ...585L..69L,Lepine:2003ku,Lépine Shara & Rich (2003a),"Discovery of an Ultracool Subdwarf: LSR 1425+7102, the First Star with Spectral Type sdM8.0"
Lepi03c,2003ApJ...591L..49L,Lepine:2003fn,Lépine Rich & Shara (2003b),LSR 1610-0040: The First Early-Type L Subdwarf
Lepi03d,2003AJ....126..921L,Lepine:2003hi,Lépine Shara & Rich (2003b),New High Proper Motion Stars from the Digitized Sky Survey. II. Northern Stars with 0.5`` yr$^{-1}$ &lt; {ensuremath{mu}} &lt; 2.0'' yr$^{-1}$ at High Galactic Latitudes
Lepi05a,2005AJ....129.1483L,Lepine:2005jx,Lépine & Shara (2005),A Catalog of Northern Stars with Annual Proper Motions Larger than 0.15'' (LSPM-NORTH Catalog)
Lepi05c,2005AJ....130.1680L,Lepine:2005cd,Lépine (2005b),Nearby Stars from the LSPM-North Proper-Motion Catalog. I. Main-Sequence Dwarfs and Giants within 33 Parsecs of the Sun
Lepi08a,2008AJ....135.2177L,Lepine:2008ij,Lépine (2008),New High Proper Motion Stars from the Digitized Sky Survey. Iv. Completion of the Southern Survey and 170 Additional Stars with {ensuremath{mu}} &gt; 0.45'' yr$^{ 1}$
Lepi09,2009AJ....137.4109L,Lepine:2009hi,Lépine et al. (2009),New Neighbors: Parallaxes of 18 Nearby Stars Selected from the LSPM-North Catalog
Lepi11b,2011AJ....142..138L,Lepine:2011gl,Lépine & Gaidos (2011),An All-sky Catalog of Bright M Dwarfs
Lieb03a,2003AJ....125..343L,Liebert:2003bx,Liebert et al. (2003a),A Flaring L5 Dwarf: The Nature of H{ensuremath{alpha}} Emission in Very Low Mass (Sub)Stellar Objects
Lieb06a,2006PASP..118..659L,Liebert:2006kp,Liebert & Gizis (2006),RI Photometry of 2MASS-selected Late M and L Dwarfs
Lieb79f,1979ApJ...233..226L,Liebert:1979io,Liebert et al. (1979d),New results from a survey of faint proper-motion stars: a probable deficiency of very low luminosity degenerates.
Litt08,2008MNRAS.388.1582L,Littlefair:2008cm,Littlefair et al. (2008),On the evolutionary status of short-period cataclysmic variables
Litt13,2013MNRAS.431.2820L,Littlefair:2013eg,Littlefair et al. (2013),A J-band detection of the sub-stellar mass donor in SDSS J1433+1011
Litt14,2014MNRAS.445.2106L,Littlefair:2014fl,Littlefair et al. (2014),The substellar companion in the eclipsing white dwarf binary SDSS J141126.20+200911.1
Liu_02a,2002ApJ...568L.107L,Liu:2002kj,Liu et al. (2002a),Discovery of a Methane Dwarf from the IfA Deep Survey
Liu_02b,2002ApJ...571..519L,Liu:2002fx,Liu et al. (2002b),Crossing the Brown Dwarf Desert Using Adaptive Optics: A Very Close L Dwarf Companion to the Nearby Solar Analog HR 7672
Liu_05,2005ApJ...634..616L,Liu:2005cu,Liu & Leggett (2005),Kelu-1 Is a Binary L Dwarf: First Brown Dwarf Science from Laser Guide Star Adaptive Optics
Liu_06,2006ApJ...647.1393L,Liu:2006ce,Liu et al. (2006),SDSS J1534+1615AB: A Novel T Dwarf Binary Found with Keck Laser Guide Star Adaptive Optics and the Potential Role of Binarity in the L/T Transition
Liu_08,2008ApJ...689..436L,Liu:2008ib,Liu Dupuy & Ireland (2008),Keck Laser Guide Star Adaptive Optics Monitoring of 2MASS J15344984-2952274AB: First Dynamical Mass Determination of a Binary T Dwarf
Liu_10,2010ApJ...722..311L,Liu:2010cw,Liu Dupuy & Leggett (2010),Discovery of a Highly Unequal-mass Binary T Dwarf with Keck Laser Guide Star Adaptive Optics: A Coevality Test of Substellar Theoretical Models and Effective Temperatures
Liu_11a,2011ApJ...740L..32L,Liu:2011hc,Liu et al. (2011a),A Search for High Proper Motion T Dwarfs with PAN-STARRS1 + 2MASS + WISE
Liu_11b,2011ApJ...740..108L,Liu:2011hb,Liu et al. (2011b),CFBDSIR J1458+1013B: A Very Cold (&gt;T10) Brown Dwarf in a Binary System
Liu_12,2012ApJ...758...57L,Liu:2012cy,Liu et al. (2012),Two Extraordinary Substellar Binaries at the T/Y Transition and the Y-band Fluxes of the Coolest Brown Dwarfs
Liu_13a,2013AN....334...85L,Liu:2013ej,Liu Dupuy & Allers (2013),Infrared parallaxes of young field brown dwarfs and connections to directly imaged gas-giant exoplanets
Liu_13b,2013ApJ...777L..20L,Liu:2013gy,Liu et al. (2013),"The Extremely Red, Young L Dwarf PSO J318.5338-22.8603: A Free-floating Planetary-mass Analog to Directly Imaged Young Gas-giant Planets"
Liu_16,2016ApJ...833...96L,Liu:2016co,Liu Dupuy & Allers (2016),The Hawaii Infrared Parallax Program. II. Young Ultracool Field Dwarfs
Lloy06,2006ApJ...650L.131L,Lloyd:2006ja,Lloyd et al. (2006),Direct Detection of the Brown Dwarf GJ 802B with Adaptive Optics Masking Interferometry
Lodi02b,2002A&A...389L..20L,Lodieu:2002bp,Lodieu Scholz & McCaughrean (2002),Discovery of three nearby L dwarfs in the Southern Sky
Lodi05b,2005A&A...440.1061L,Lodieu:2005kd,Lodieu et al. (2005b),Spectroscopic classification of red high proper motion objects in the Southern Sky
Lodi06b,2006MNRAS.373...95L,Lodieu:2006di,Lodieu Hambly & Jameson (2006),New members in the Upper Scorpius association from the UKIRT Infrared Deep Sky Survey Early Data Release{textdagger}
Lodi07a,2007MNRAS.374..372L,Lodieu:2007if,Lodieu et al. (2007a),New brown dwarfs in Upper Sco using UKIDSS Galactic Cluster Survey science verification data
Lodi07b,2007MNRAS.379.1423L,Lodieu:2007fr,Lodieu et al. (2007b),Eight new T4.5-T7.5 dwarfs discovered in the UKIDSS Large Area Survey Data Release 1
Lodi08,2008MNRAS.383.1385L,Lodieu:2008hm,Lodieu et al. (2008),Near-infrared cross-dispersed spectroscopy of brown dwarf candidates in the UpperSco association
Lodi09b,2009MNRAS.395.1631L,Lodieu:2009dc,Lodieu et al. (2009b),Two distant brown dwarfs in the UKIRT Infrared Deep Sky Survey Deep Extragalactic Survey Data Release 2
Lodi09d,2009MNRAS.397..258L,Lodieu:2009fe,Lodieu et al. (2009c),Identifying nearby field T dwarfs in the UKIDSS Galactic Clusters Survey
Lodi10,2010ApJ...708L.107L,Lodieu:2010iu,Lodieu et al. (2010),GTC/OSIRIS Spectroscopic Identification of a Faint L Subdwarf in the UKIRT Infrared Deep Sky Survey
Lodi12a,2012MNRAS.422.1495L,Lodieu:2012jw,Lodieu Deacon & Hambly (2012),Astrometric and photometric initial mass functions from the UKIDSS Galactic Clusters Survey - I. The Pleiades
Lodi12b,2012A&A...542A.105L,Lodieu:2012il,Lodieu et al. (2012a),New ultracool subdwarfs identified in large-scale surveys using Virtual Observatory tools. I. UKIDSS LAS DR5 vs. SDSS DR7
Lodi12d,2012A&A...548A..53L,Lodieu:2012go,Lodieu et al. (2012c),First T dwarfs in the VISTA Hemisphere Survey
Lodi13a,2013MNRAS.435.2474L,Lodieu:2013cj,Lodieu Béjar & Rebolo (2013),Probing the Upper Scorpius mass function in the planetary-mass regime
Lodi13c,2013MNRAS.431.3222L,Lodieu:2013eo,Lodieu (2013),Astrometric and photometric initial mass functions from the UKIDSS Galactic Clusters Survey - IV. Upper Scou2605
Lodi14a,2014A&A...569A.120L,Lodieu:2014bo,Lodieu et al. (2014),Binary frequency of planet-host stars at wide separations. A new brown dwarf companion to a planet-host star
Lodi14b,2014MNRAS.445.3908L,Lodieu:2014jo,Lodieu Boudreault & Béjar (2014),Spectroscopy of Hyades L dwarf candidates$^{u2605}$
Lodi18,2018MNRAS.473.2020L,Lodieu:2018ev,Lodieu et al. (2018),The optical + infrared L dwarf spectral sequence of young planetary-mass objects in the Upper Scorpius association
Loop07a,2007AJ....134.1162L,Looper:2007ee,Looper Kirkpatrick & Burgasser (2007),"Discovery of 11 New T Dwarfs in the Two Micron All Sky Survey, Including a Possible L/T Transition Binary"
Loop07b,2007ApJ...669L..97L,Looper:2007gc,Looper et al. (2007),Discovery of an M9.5 Candidate Brown Dwarf in the TW Hydrae Association: DENIS J124514.1-442907
Loop08a,2008ApJ...685.1183L,Looper:2008if,Looper et al. (2008a),Discovery of a T Dwarf Binary with the Largest Known J-Band Flux Reversal
Loop08b,2008ApJ...686..528L,Looper:2008hs,Looper et al. (2008b),Discovery of Two Nearby Peculiar L Dwarfs from the 2MASS Proper-Motion Survey: Young or Metal-Rich?
Loop11,2011PhDT.......245L,Looper:2011ur,Looper (2011),New Nearby Accreting Young Stars and a First Estimate of the IMF for the TW Hydrae Association
Lout11,2011ApJ...739...81L,Loutrel:2011ft,Loutrel et al. (2011),Discovery of a Companion at the L/T Transition with the Wide-field Infrared Survey Explorer
Lowr00,2000ApJ...541..390L,Lowrance:2000ic,Lowrance et al. (2000),A Candidate Substellar Companion to HR 7329
Lowr05,2005AJ....130.1845L,Lowrance:2005ci,Lowrance et al. (2005),An Infrared Coronagraphic Survey for Substellar Companions
Lowr99,1999ApJ...512L..69L,Lowrance:1999ck,Lowrance et al. (1999),A Candidate Substellar Companion to CD -33{textdegree}7795 (TWA 5)
Luca10,2010MNRAS.408L..56L,Lucas:2010iq,Lucas et al. (2010),"The discovery of a very cool, very nearby brown dwarf in the Galactic plane"
Luca12,2012yCat.2316....0U,Lucas:2012wf,Lucas et al. (2012),VizieR Online Data Catalog: UKIDSS-DR6 Galactic Plane Survey (Lucas+ 2012)
Luhm04c,2004ApJ...614..398L,Luhman:2004bn,Luhman (2004b),The First Discovery of a Wide Binary Brown Dwarf
Luhm06b,2006ApJ...645..676L,Luhman:2006cd,Luhman (2006),The Spatial Distribution of Brown Dwarfs in Taurus
Luhm06d,2006ApJ...649..894L,Luhman:2006ge,Luhman et al. (2006b),Discovery of a Young Substellar Companion in Chamaeleon
Luhm07a,2007ApJ...654..570L,Luhman:2007fu,Luhman et al. (2007a),Discovery of Two T Dwarf Companions with the Spitzer Space Telescope
Luhm07d,2007ApJS..173..104L,Luhman:2007bm,Luhman (2007),The Stellar Population of the Chamaeleon I Star-forming Region
Luhm09a,2009ApJ...691.1265L,Luhman:2009cx,Luhman et al. (2009a),Discovery of a Wide Binary Brown Dwarf Born in Isolation
Luhm09b,2009ApJ...703..399L,Luhman:2009cn,Luhman et al. (2009b),An Infrared/X-Ray Survey for New Members of the Taurus Star-Forming Region
Luhm10,2010ApJS..186..111L,Luhman:2010fz,Luhman et al. (2010),The Disk Population of the Taurus Star-Forming Region
Luhm11,2011ApJ...730L...9L,Luhman:2011jo,Luhman Burgasser & Bochanski (2011),Discovery of a Candidate for the Coolest Known Brown Dwarf
Luhm12a,2012ApJ...744..135L,Luhman:2012cs,Luhman et al. (2012a),Confirmation of One of the Coldest Known Brown Dwarfs
Luhm12d,2012ApJ...760..152L,Luhman:2012ir,Luhman et al. (2012b),"New M, L, and T Dwarf Companions to Nearby Stars from the Wide-field Infrared Survey Explorer"
Luhm13,2013ApJ...767L...1L,Luhman:2013bp,Luhman (2013),Discovery of a Binary Brown Dwarf at 2 pc from the Sun
Luhm14a,2014ApJ...781....4L,Luhman:2014et,Luhman (2014a),A Search for a Distant Companion to the Sun with the Wide-field Infrared Survey Explorer
Luhm14b,2014ApJ...786L..18L,Luhman:2014jd,Luhman (2014b),Discovery of a raisebox{-0.5ex}textasciitilde250 K Brown Dwarf at 2 pc from the Sun
Luhm14c,2014ApJ...787..126L,Luhman:2014hj,Luhman & Sheppard (2014),Characterization of High Proper Motion Objects from the Wide-field Infrared Survey Explorer
Luhm14d,2014ApJ...794...16L,Luhman:2014hp,Luhman et al. (2014),Near-infrared Detection of WD 0806-661 B with the Hubble Space Telescope
Luhm14e,2014ApJ...796....6L,Luhman:2014bu,Luhman & Esplin (2014),A New Parallax Measurement for the Coldest Known Brown Dwarf
Luhm16a,2016AJ....152...78L,Luhman:2016cf,Luhman & Esplin (2016),The Spectral Energy Distribution of the Coldest Known Brown Dwarf
Luhm16b,2016ApJ...827...52L,Luhman:2016kn,Luhman Esplin & Loutrel (2016),A Census of Young Stars and Brown Dwarfs in IC 348 and NGC 1333
Luyt49b,1949ApJ...109..532L,Luyten:1949ib,Luyten (1949b),A New Star of Large Proper Motion (L 726-8).
Luyt57a,1957cnes.book.....L,Luyten:1957uk,Luyten (1957a),A catalogue of 9867 stars in the Southern Hemisphere with proper motions exceeding 0.''2 annually.
Luyt79b,1979nlcs.book.....L,Luyten:1979vs,Luyten (1979b),New Luyten catalogue of stars with proper motions larger than two tenths of an arcsecond; and first supplement; NLTT. (Minneapolis (1979)); Label 12 = short description; Label 13 = documentation by Warren; Label 14 = catalogue
Mace13a,2013ApJS..205....6M,Mace:2013jh,Mace et al. (2013a),A Study of the Diverse T Dwarf Population Revealed by WISE
Mace13b,2013ApJ...777...36M,Mace:2013ku,Mace et al. (2013b),The Exemplar T8 Subdwarf Companion of Wolf 1130
Maci15,2015Sci...350...64M,Macintosh:2015ew,Macintosh et al. (2015),Discovery and spectroscopy of the young jovian planet 51 Eri b with the Gemini Planet Imager
Magn20,2016arXiv161205242M,Magnier:2016vq,Magnier et al. (2020),Pan-STARRS Photometric and Astrometric Calibration
Main11a,2011ApJ...726...30M,Mainzer:2011fb,Mainzer et al. (2011a),The First Ultra-cool Brown Dwarf Discovered by the Wide-field Infrared Survey Explorer
Mair16,2016A&A...587A..56M,Maire:2016go,Maire et al. (2016),First light of the VLT planet finder SPHERE. II. The physical properties and the architecture of the young systems PZ Telescopii and HD 1160 revisited
Male14,2014ApJ...786...32M,Males:2014jl,Males et al. (2014),Magellan Adaptive Optics First-light Observations of the Exoplanet beta Pic B. I. Direct Imaging in the Far-red Optical with MagAO+VisAO and in the Near-ir with NICI
Malo13,2013ApJ...762...88M,Malo:2013gn,Malo et al. (2013),Bayesian Analysis to Identify New Star Candidates in Nearby Young Stellar Kinematic Groups
Mama18,2018RNAAS...2..205M,Mamajek:2018ky,Mamajek et al. (2018),WISE J064336.71-022315.4: A Thick-disk L8 Brown Dwarf Discovered by Gaia DR2 at 13.9 pc
Manj13,2013A&A...560A..52M,Manjavacas:2013cg,Manjavacas et al. (2013),Parallax measurements of cool brown dwarfs
Manj16,2016MNRAS.455.1341M,Manjavacas:2016ip,Manjavacas et al. (2016),Hunting for brown dwarf binaries and testing atmospheric models with X-Shooter
Mann19,2019ApJ...871...63M,Mann:2019ey,Mann et al. (2019),How to Constrain Your M Dwarf. II. The Mass-Luminosity-Metallicity Relation from 0.075 to 0.70 Solar Masses
Maro07,2007ApJ...654L.151M,,Marois et al. (2007),GQ Lup B Visible and Near-Infrared Photometric Analysis
Maro08b,2008Sci...322.1348M,Marois:2008ei,Marois et al. (2008b),Direct Imaging of Multiple Planets Orbiting the Star HR 8799
Maro10a,2010A&A...524A..38M,Marocco:2010cj,Marocco et al. (2010),Parallaxes and physical properties of 11 mid-to-late T dwarfs
Maro10b,2010Natur.468.1080M,Marois:2010gp,Marois et al. (2010),Images of a fourth planet orbiting HR 8799
Maro13,2013AJ....146..161M,Marocco:2013kv,Marocco et al. (2013),Parallaxes of Southern Extremely Cool Objects (PARSEC). II. Spectroscopic Follow-up and Parallaxes of 52 Targets
Maro14,2014MNRAS.439..372M,Marocco:2014kr,Marocco et al. (2014),The extremely red L dwarf ULAS J222711-004547 - dominated by dust
Maro15,2015MNRAS.449.3651M,Marocco:2015iz,Marocco et al. (2015),"A large spectroscopic sample of L and T dwarfs from UKIDSS LAS: peculiar objects, binaries, and space density"
Maro17,2017MNRAS.470.4885M,Marocco:2017gn,Marocco et al. (2017),Ultracool dwarf benchmarks with Gaia primaries
Mars08,2008AJ....135.1000M,Marshall:2008il,Marshall (2008),Finding Extreme Subdwarfs
Mars13,2013ApJ...762..119M,Marsh:2013hk,Marsh et al. (2013),Parallaxes and Proper Motions of Ultracool Brown Dwarfs of Spectral Types Y and Late T
Mart00a,2000ApJ...529L..37M,Martin:2000bq,Martín et al. (2000a),The Discovery of a Companion to the Very Cool Dwarf Gliese 569B with the Keck Adaptive Optics Facility
Mart00b,2000AJ....120.2114M,Martin:2000cx,Martín (2000),Spectroscopy of Very Low Luminosity Young Stellar Objects in Taurus
Mart00c,2000ApJ...543..299M,Martin:2000jp,Martín et al. (2000b),Membership and Multiplicity among Very Low Mass Stars and Brown Dwarfs in the Pleiades Cluster
Mart06b,2006A&A...456..253M,Martin:2006hh,Martín et al. (2006b),Resolved Hubble space spectroscopy of ultracool binary systems
Mart10,2010A&A...517A..53M,Martin:2010cx,Martín et al. (2010),Spectroscopic characterization of 78 DENIS ultracool dwarf candidates in the solar neighborhood and the Upper Scorpii OB association
Mart18,2018ApJ...867..109M,Martin:2018hc,Martin et al. (2018),Y Dwarf Trigonometric Parallaxes from the Spitzer Space Telescope
Mart94,1994ApJ...436..262M,Martin:1994it,Martín Rebolo & Magazzu (1994),Constraints to the Masses of Brown Dwarf Candidates from the Lithium Test
Mart98c,1998ApJ...507L..41M,Martin:1998hr,Martín et al. (1998b),The First L-Type Brown Dwarf in the Pleiades
Mart99c,1999Sci...283.1718M,Martin:1999fc,Martín Brandner & Basri (1999),A Search for Companions to Nearby Brown Dwarfs: The Binary DENIS-P J1228.2-1547
Mart99d,1999AJ....118.1005M,Martin:1999gv,Martin Basri & Zapatero Osorio (1999),The Lithium Test in Young Brown Dwarf Candidates
Mart99e,1999AJ....118.2466M,Martin:1999er,Martín et al. (1999),Spectroscopic Classification of Late-M and L Field Dwarfs
Mast12a,2012ApJ...752L..14M,Masters:2012im,Masters et al. (2012a),"Discovery of Three Distant, Cold Brown Dwarfs in the WFC3 Infrared Spectroscopic Parallels Survey"
Mats11b,2011AJ....142...64M,Matsuoka:2011kp,Matsuoka et al. (2011b),1 {ensuremath{mu}}m Excess Sources in the UKIDSS. I. Three T Dwarfs in the Sloan Digital Sky Survey Southern Equatorial Stripe
Mats19,2019ApJ...883..183M,Matsuoka:2019by,Matsuoka et al. (2019),Subaru High-z Exploration of Low-luminosity Quasars (SHELLQs). X. Discovery of 35 Quasars and Luminous Galaxies at 5.7 ≤ z ≤ 7.0
McCa02,2002A&A...390L..27M,McCaughrean:2002ip,McCaughrean et al. (2002),Search for nearby stars among proper motion stars selected by optical-to-infrared photometry. II. Two late M dwarfs within 10 pc
McCa04,2004A&A...413.1029M,McCaughrean:2004ey,McCaughrean et al. (2004),"{ensuremath{in}} Indi Ba,Bb: The nearest binary brown dwarf"
McCa64c,1964RA......6..571M,McCarthy:1964tp,McCarthy Bertiau & Treanor (1964),M stars in the region of the south galactic pole
McCr10,2010ApJ...708..202M,McCracken:2010dl,McCracken et al. (2010),The COSMOS-WIRCam Near-Infrared Imaging Survey. I. BzK-Selected Passive and Star-Forming Galaxy Candidates at z gsim 1.4
McEl06,2006AJ....132.2074M,McElwain:2006ca,McElwain & Burgasser (2006),Resolved Spectroscopy of M Dwarf/L Dwarf Binaries. II. 2MASS J17072343-0558249AB
McEl07,2007ApJ...656..505M,,McElwain et al. (2007),First High-Contrast Science with an Integral Field Spectrograph: The Substellar Companion to GQ Lupi
McGo04,2004ApJ...600.1020M,McGovern:2004cc,McGovern et al. (2004),Identifying Young Brown Dwarfs Using Gravity-Sensitive Spectral Features
McLe03,2003ApJ...596..561M,McLean:2003hx,McLean et al. (2003),The NIRSPEC Brown Dwarf Spectroscopic Survey. I. Low-Resolution Near-Infrared Spectra
McLe07,2007ApJ...658.1217M,McLean:2007ir,McLean et al. (2007),"The NIRSPEC Brown Dwarf Spectroscopic Survey. II. High-Resolution J-Band Spectra of M, L, and T Dwarfs"
McMa13,2013Msngr.154...35M,McMahon:2013vw,McMahon et al. (2013),First Scientific Results from the VISTA Hemisphere Survey (VHS)
Mena02,2002A&A...396L..35M,Menard:2002gz,Ménard Delfosse & Monin (2002),Optical linear polarimetry of ultra cool dwarfs
Mesa19,2019A&A...632A..25M,Mesa:2019ei,Mesa et al. (2019),VLT/SPHERE exploration of the young multiplanetary system PDS70
Mesa20,2020MNRAS.495.4279M,Mesa:2020wd,Mesa et al. (2020),Characterising brown dwarf companions with IRDIS long-slit spectroscopy: HD 1160 B and HD 19467 B
Mesh15b,2015MNRAS.453.2378M,Meshkat:2015hd,Meshkat et al. (2015b),Discovery of a low-mass companion to the F7V star HD 984
Metc04a,2004ApJ...617.1330M,Metchev:2004kl,Metchev & Hillenbrand (2004),Initial Results from the Palomar Adaptive Optics Survey of Young Solar-Type Stars: A Brown Dwarf and Three Stellar Companions
Metc06,2006ApJ...651.1166M,Metchev:2006bq,Metchev & Hillenbrand (2006),HD 203030B: An Unusually Cool Young Substellar Companion near the L/T Transition
Metc08,2008ApJ...676.1281M,Metchev:2008gx,Metchev et al. (2008),A Cross-Match of 2MASS and SDSS: Newly Found L and T Dwarfs and an Estimate of the Space Density of T Dwarfs
Meto15,2015MNRAS.446.3878M,Metodieva:2015jj,Metodieva et al. (2015),Low-resolution optical spectra of ultracool dwarfs with OSIRIS/GTC
Mile17,2017AJ....154..262M,MilesPaez:2017cd,Miles-Páez et al. (2017c),The Prototypical Young L/T-Transition Dwarf HD 203030B Likely Has Planetary Mass
Minn17,2017yCat.2348....0M,Minniti:2017tt,Minniti et al. (2017),"VizieR Online Data Catalog: VISTA Variable in the Via Lactea Survey DR2 (Minniti+, 2017)"
Moha03a,2003ApJ...583..451M,Mohanty:2003fg,Mohanty & Basri (2003),Rotation and Activity in Mid-M to L Field Dwarfs
Moha03b,2003ApJ...593L.109M,Mohanty:2003bk,Mohanty et al. (2003),Magellan Echelle Spectroscopy of TW Hydrae Brown Dwarfs
Mone03,2003AJ....125..984M,Monet:2003bw,Monet et al. (2003),The USNO-B Catalog
Mone83,1983AJ.....88.1489M,Monet:1983fs,Monet & Dahn (1983),CCD astrometry. I. Preliminary results from the KPNO 4-m/CCD parallaxprogram.
Mone92,1992AJ....103..638M,Monet:1992bs,Monet et al. (1992),U.S. Naval Observatory CCD Parallaxes of Faint Stars. I. Program Description and First Results
Mont06,2006A&A...460L..19M,Montagnier:2006dt,Montagnier et al. (2006),Five new very low mass binaries
Mugr06b,2006MNRAS.373L..31M,Mugrauer:2006iy,Mugrauer et al. (2006b),HD3651B: the first directly imaged brown dwarf companion of an exoplanet host star
Mugr07b,2007MNRAS.378.1328M,Mugrauer:2007hs,Mugrauer Seifahrt & Neuhäuser (2007),The multiplicity of planet host stars - new low-mass companions to planet host stars
Mugr10,2010A&A...523L...1M,Mugrauer:2010cp,Mugrauer et al. (2010),Direct detection of a substellar companion to the young nearby star PZ Telescopii
Mull18,2018A&A...617L...2M,Muller:2018jr,Müller et al. (2018),Orbital and atmospheric characterization of the planet within the gap of the PDS 70 transition disk
Murp15b,2015MNRAS.453.2220M,Murphy:2015kv,Murphy Lawson & Bento (2015),New members of the TW Hydrae Association and two accreting M-dwarfs in Scorpius-Centaurus
Murr11,2011MNRAS.414..575M,Murray:2011ey,Murray et al. (2011),Blue not brown: UKIRT Infrared Deep Sky Survey T dwarfs with suppressed K-band flux
Muzi12b,2012AJ....144..180M,Muzic:2012hc,Mužić et al. (2012b),Discovery of Two Very Wide Binaries with Ultracool Companions and a New Brown Dwarf at the L/T Transition
Muzi15,2015ApJ...810..159M,Muzic:2015uq,Mužić et al. (2015),Substellar Objects in Nearby Young Clusters (SONYC) IX: The Planetary-Mass Domain of Chamaeleon-I and Updated Mass Function in Lupus-3
Naka04,2004ApJ...607..499N,Nakajima:2004jc,Nakajima Tsuji & Yanagisawa (2004),Spectral Classification and Effective Temperatures of L and T Dwarfs Based on Near-Infrared Spectra
Naka95b,1995Natur.378..463N,Nakajima:1995bb,Nakajima et al. (1995),Discovery of a cool brown dwarf
Naud14,2014ApJ...787....5N,Naud:2014jx,Naud et al. (2014),Discovery of a Wide Planetary-mass Companion to the Young M3 Star GU Psc
Neuh00b,2000A&A...360L..39N,Neuhauser:2000tc,Neuhäuser et al. (2000b),Spectrum and proper motion of a brown dwarf companion of the T Tauri star CoD-33$^{u0302}$7795
Neuh03d,2003AN....324..535N,Neuhauser:2003tb,Neuhäuser et al. (2003d),An infrared imaging search for low-mass companions to members of the young nearby {ensuremath{beta}} Pic and Tucana/Horologium associations
Neuh04a,2004A&A...420..647N,Neuhauser:2004hk,Neuhäuser & Günther (2004),Infrared spectroscopy of a brown dwarf companion candidate near the young star GSC 08047-00232 in Horologium
Neuh05a,2005A&A...435L..13N,Neuhauser:2005el,Neuhäuser et al. (2005a),Evidence for a co-moving sub-stellar companion of GQ Lup
Neuh11,2011MNRAS.416.1430N,Neuhauser:2011it,Neuhäuser et al. (2011),Further deep imaging of HR 7329 A ({ensuremath{eta}} Tel A) and its brown dwarf companion B
Newt14,2014AJ....147...20N,Newton:2014ix,Newton et al. (2014),"Near-infrared Metallicities, Radial Velocities, and Spectral Types for 447 Nearby M Dwarfs"
Niel12,2012ApJ...750...53N,Nielsen:2012jk,Nielsen et al. (2012),The Gemini NICI Planet-Finding Campaign: Discovery of a Multiple System Orbiting the Young A Star HD 1160
Niel13,2013ApJ...776....4N,Nielsen:2013jy,Nielsen et al. (2013),The Gemini NICI Planet-Finding Campaign: The Frequency of Giant Planets around Young B and A Stars
Opit16,2016ApJ...819...17O,Opitz:2016uy,Opitz et al. (2016),Searching for Binary Y Dwarfs with the Gemini Multi-conjugate Adaptive Optics System (GeMS)
Oppe13,2013ApJ...768...24O,Oppenheimer:2013gy,Oppenheimer et al. (2013),Reconnaissance of the HR 8799 Exosolar System. I. Near-infrared Spectroscopy
Pati02b,2002ApJ...581..654P,Patience:2002hc,Patience et al. (2002b),Stellar Companions to Stars with Planets
Pati12,2012A&A...540A..85P,Patience:2012cx,Patience et al. (2012),Spectroscopy across the brown dwarf/planetary mass boundary. I. Near-infrared JHK spectra
Patt06,2006ApJ...651..502P,Patten:2006fx,Patten et al. (2006),"Spitzer IRAC Photometry of M, L, and T Dwarfs"
Pena11,2011IAUS..276..489R,PenaRamirez:2011in,Peña Ramírez et al. (2011),Search and characterization of T-type planetary mass candidates in the {ensuremath{sigma}} Orionis cluster
Pena12,2012ApJ...754...30P,PenaRamirez@2012iw,Peña Ramírez et al. (2012),New Isolated Planetary-mass Objects and the Stellar and Substellar Mass Function of the {ensuremath{sigma}} Orionis Cluster
Pena15,2015A&A...574A.118P,PenaRamirez:2015id,Peña Ramírez Zapotero Osorio & Béjar (2015),Characterization of the known T-type dwarfs towards the {\ensuremath{sigma}} Orionis cluster
Pena16,2016A&A...586A.157P,PenaRamirez:2016bx,Peña Ramírez Béjar & Zapotero Osorio (2015),A new free-floating planet in the Upper Scorpius association
Pere14,2014A&A...567A...6P,PerezGarrido:2014de,Pérez Garrido et al. (2014),2MASS J154043.42-510135.7: a new addition to the 5 pc population
Perr97,1997A&A...323L..49P,Perryman:1997vj,Perryman et al. (1997),The Hipparcos Catalogue.
