name,ra_j2000_formula,dec_j2000_formula,identifiers_simbad
2MASS J00184613-6356122,4.6920,-63.9366,2MASS J00184613-6356122|TIC 425934687|WISEA J001846.61-635615.9|Gaia DR2 4900453540369793408|Gaia DR3 4900453540369793408
PSO J004.7148+51.8918,4.7133,51.8918,PSO J004.7148+51.8918|WISEA J001851.52+515330.6|WISE J001851.51+515330.6
PSO J004.7818+41.0231,4.7815,41.0235,2MASS J00190754+4101249|PSO J004.7818+41.0231|TIC 194507335|WISEA J001907.64+410123.2|WISE J001907.63+410123.3|Gaia DR2 383416510813428480|Gaia DR3 383416510813428480
SDSS J001911.65+003017.8,4.7986,0.5049,2MASS J00191165+0030176|SDSS J001911.65+003017.8|SDSS J001911.64+003017.6|TIC 293343006|Gaia DR2 2545563520758981760|Gaia DR3 2545563520758981760
2MASS J00191296-6226005,4.8038,-62.4334,2MASS J00191296-6226005|TIC 425934297|Gaia DR2 4901530374570672768|Gaia DR3 4901530374570672768
2MASS J00192626+4614078,4.8594,46.2355,2MASS J00192626+4614078|2MASSI J0019262+461407|2MUCD 10013|PM J00194+4614|TIC 440114956|[B2006] J001926.3+461408|Gaia DR2 391940577789029888|Gaia DR3 391940577789029888
NLTT 1011B,4.8865,40.3159,2MASS J00193275+4018576|TIC 194528497|WISEA J001932.66+401855.1|Gaia DR2 380379453539222784|Gaia DR3 380379453539222784
2MASS J00193927-3724392,4.9137,-37.4109,2MASS J00193927-3724392|TIC 120608548|Gaia DR2 4998742462483975424|Gaia DR3 4998742462483975424
2MASSI J0019457+521317,4.9410,52.2215,2MASS J00194579+5213179|2MASSI J0019457+521317|2MUCD 10014|TIC 202238770|WISEA J001946.18+521314.6|[B2006] J001945.8+521318|Gaia DR2 419121948343397888|Gaia DR3 419121948343397888
Koenigstuhl 1B,5.2747,-42.7454,2MASS J00210589-4244433|** KO    1B|DENIS J0021.0-4244|DENIS J002105.8-424442|Koenigstuhl 1B|2MUCD 20018|TIC 7150631|USNO-B1.0 0472-00004560|WDS J00212-4246B|WISEA J002106.15-424443.4|Gaia DR2 4992141475707360640|Gaia DR3 4992141475707360640
Koenigstuhl 1A,5.2948,-42.7612,2MASS J00211072-4245401|** KO    1A|Koenigstuhl 1A|LEHPM 494|TIC 7150628|WDS J00212-4246A|WISEA J002110.98-424540.3|Gaia DR3 4992138830007506048|Gaia DR2 4992138830007506048
SDSS J002138.86+002605.8,5.4119,0.4350,2MASS J00213884+0026058|SDSS J002138.86+002605.8|TIC 293372531|ULAS J002138.89+002605.6|WISEA J002138.92+002605.0|WISE J002138.92+002605.2
SDSS J002209.31-011040.2,5.5388,-1.1778,2MASS J00220932-0110399|SDSS J002209.33-011039.7|SDSS J002209.31-011040.2|SDSS J002209.34-011039.9|TIC 423356603|Gaia DR2 2542048347725825024|Gaia DR3 2542048347725825024
PSO J005.6302-06.8669,5.6307,-6.8671,PSO J005.6302-06.8669
ULAS J002406.37+134705.3,6.0270,13.7849,BRLT 6|ULAS J002406.37+134705.3|ULAS J002406.38+134705.4
ULAS J002422.94+002247.9,6.0961,0.3807,ULAS J002422.94+002247.9|ULAS J002422.93+002247.9
BRI 0021-0214,6.1026,-1.9722,2MASS J00242463-0158201|BRI B0021-0214|BRI B0021-02|2MASSI J0024246-015819|2MUCD 10018|NLTT  1261|PLX   65.11|TIC 244167275|USNO-B1.0 0880-00006910|V* DY Psc|WISEA J002424.57-015818.4|WISE J002424.58-015818.4|[B2006] J002424.6-015820|[RHG95]  3810|Gaia DR2 2541756977144595712|Gaia DR3 2541756977144595712
LHS 1070,6.1841,-27.1404,UCAC3 126-1078|** LEI    1|DENIS J002444.1-270825|GJ  2005|LEHPM 558|LHS  1070|LP  881-64|2MASS J00244419-2708242|2MASSI J0024442-270825|2MUCD 10019|NLTT  1292|PLX   66.01|PM 00222-2726|PMSC 00197-2743|1RXS J002446.5-270842|TIC 340703996|UCAC4 315-000491|WDS J00247-2653AB{comma}C|WISEA J002444.12-270817.1|WISE J002444.13-270817.2|[B2006] J002444.2-270824|[GKL99] 17|[MBT64]  45|[RHG95]    83|Gaia DR3 2322561156529549440|Gaia DR2 2322561156528583040
2MASSI J0025036+475919,6.2654,47.9886,2MASSI J0025036+475919|** RED   14|** CRZ    2C|2MASS J00250365+4759191|2MUCD 13016|TIC 202438828|WDS J00251+4803C|WDS J00251+4803Ca{comma}Cb|WISE J002504.03+475918.2
LHS 1074,6.4634,-7.8022,LP  645-78|LHS  1074|2MASS J00255116-0748069|NLTT  1352|WISEA J002551.49-074815.5|Gaia DR2 2430347896307698304|Gaia DR3 2430347896307698304
SDSS J002611.45-094341.1,6.5477,-9.7280,2MASS J00261147-0943406|SDSS J002611.45-094341.1|Gaia DR2 2426636872764826112|Gaia DR3 2426636872764826112
WISEA J002656.73-542854.8,6.7347,-54.4813,2MASS J00265632-5428530|TIC 616102138|TIC 281541920|WISEA J002656.75-542855.0|WISE J002656.73-542854.8|Gaia DR2 4923179694098110848|Gaia DR3 4923179694098110848
ULAS J002707.24+142349.0,6.7801,14.3969,BRLT 7|ULAS J002707.24+142349.0
ULAS J002740.95+085940.3,6.9202,8.9960,ULAS J002740.95+085940.3
PC 0025+0447,6.9249,5.0616,2MASS J00274197+0503417|PC 0025+0447|TIC 257203355|ULAS J002741.97+050341.8|WISEA J002741.97+050341.7|WISE J002741.96+050341.9|[B2006] J002742.0+050341|Gaia DR2 2555109373337132032|Gaia DR3 2555109373337132032
LP 349-25,6.9834,22.3257,LP  349-25|** FRV    1|GAT 1368|LSPM J0027+2219|2MASS J00275592+2219328|2MASSI J0027559+221932|2MASSW J0027559+221932|2MUCD 10022|NLTT  1470|TIC 411533111|USNO-B1.0 1123-00007537|WDS J00279+2220AB|WISEA J002756.30+221930.5|Gaia DR2 2799992744809482112|Gaia DR3 2799992744809482112
SDSS J002800.37+010252.0,7.0015,1.0479,SDSS J002800.38+010252.0|SDSS J002800.37+010252.0|ULAS J002800.40+010251.9|ULAS J002800.41+010251.9|WISEA J002800.43+010251.4|WISE J002800.43+010251.5
