# %ECSV 1.0,,
# ---,,
# datatype:,,
# - {name: Ultracool Sheet Name, datatype: string},
# - {name: SIMPLE Source Name, datatype: string},
# - {name: SIMPLE URL, datatype: string, subtype: json}
# delimiter: ',',
# schema: astropy-2.0,,
Ultracool Sheet Name,SIMPLE Source Name,SIMPLE URL
SDSS J011912.22+240331.6,SDSS J011912.22+240331.6,"""https://simple-bd-archive.org/solo_result/SDSS%20J011912.22%2B240331.6"""
HIP 6217C,HIP 6217C,"""https://simple-bd-archive.org/solo_result/HIP%206217C"""
2MASS J01204916-0741036,2MASS J01204916-0741036,"""https://simple-bd-archive.org/solo_result/2MASS%20J01204916-0741036"""
2MASS J01205114-5200349,2MASS J01205114-5200349,"""https://simple-bd-archive.org/solo_result/2MASS%20J01205114-5200349"""
HIP 6407B,HIP 6407B,"""https://simple-bd-archive.org/solo_result/HIP%206407B"""
SDSS J012236.30+153339.4,SDSS J012236.30+153339.4,"""https://simple-bd-archive.org/solo_result/SDSS%20J012236.30%2B153339.4"""
2MASS J01225093-2439505B,2MASS J01225093-2439505,"""https://simple-bd-archive.org/solo_result/2MASS%20J01225093-2439505"""
2MASS J01231125-6921379,2MASS J01231125-6921379,"""https://simple-bd-archive.org/solo_result/2MASS%20J01231125-6921379"""
WISEPA J012333.21+414203.9,WISEPA J012333.21+414203.9,"""https://simple-bd-archive.org/solo_result/WISEPA%20J012333.21%2B414203.9"""
SSSPM J0124-4240,2MASS J01235905-4240073,"""https://simple-bd-archive.org/solo_result/2MASS%20J01235905-4240073"""
2MASS J01244599-5745379,2MASS J01244599-5745379,"""https://simple-bd-archive.org/solo_result/2MASS%20J01244599-5745379"""
SERC 296A,SERC 296A,null
2MASSI J0125369-343505,2MASSI J0125369-343505,"""https://simple-bd-archive.org/solo_result/2MASSI%20J0125369-343505"""
2MASS J01262109+1428057,2MASS J01262109+1428057,"""https://simple-bd-archive.org/solo_result/2MASS%20J01262109%2B1428057"""
2MASS J01265327-5505506,2MASS J01265327-5505506,"""https://simple-bd-archive.org/solo_result/2MASS%20J01265327-5505506"""
ULAS J012735.66+153905.9,ULAS J012735.66+153905.9,null
CTI 012657.5+280202,CTI 012657.5+280202,"""https://simple-bd-archive.org/solo_result/CTI%20012657.5%2B280202"""
SDSS J012743.51+135420.9,SDSS J012743.51+135420.9,"""https://simple-bd-archive.org/solo_result/SDSS%20J012743.51%2B135420.9"""
ULAS J012814.41-004153.5,ULAS J012814.41-004153.5,"""https://simple-bd-archive.org/solo_result/ULAS%20J012814.41-004153.5"""
2MASS J01282664-5545343,2MASS J01282664-5545343,"""https://simple-bd-archive.org/solo_result/2MASS%20J01282664-5545343"""
ULAS J012855.07+063357.0,ULAS J012855.07+063357.0,"""https://simple-bd-archive.org/solo_result/ULAS%20J012855.07%2B063357.0"""
ULAS J012906.88+011350.4,ULAS J012906.88+011350.4,"""https://simple-bd-archive.org/solo_result/ULAS%20J012906.88%2B011350.4"""
2MASSW J0129122+351758,2MASSW J0129122+351758,"""https://simple-bd-archive.org/solo_result/2MASSW%20J0129122%2B351758"""
2MASS J01294256-0823580,2MASS J01294256-0823580,"""https://simple-bd-archive.org/solo_result/2MASS%20J01294256-0823580"""
WISEA J013012.66-104732.4,WISEA J013012.66-104732.4,"""https://simple-bd-archive.org/solo_result/WISEA%20J013012.66-104732.4"""
