# %ECSV 1.0
# ---
# datatype:
# - {name: Skipped, datatype: string}
# - {name: Reason, datatype: string}
# delimiter: ','
# schema: astropy-2.0
Skipped,Reason
WISEU J004851.21+250814.9 W1,only upper error
WISEU J004851.21+250814.9 W3,only upper error
WISEU J004851.21+250814.9 W4,only upper error
2MASS J00492677-0635467 W4,only upper error
HD 4747 B,missing wise designation name
HD 4747 B,missing proper motion values
HD 4747 B W1,only upper error
HD 4747 B W2,only upper error
HD 4747 B W3,only upper error
HD 4747 B W4,only upper error
WISEPC J004928.48+044100.1 W3,only upper error
WISE J004945.61+215120.0 W4,only upper error
2MASS J00501994-3322402 W4,only upper error
SIPS J0050-1538 W4,only upper error
ULAS J005038.20-000336.6 W3,only upper error
ULAS J005038.20-000336.6 W4,only upper error
2MASSW J0051107-154417 W4,only upper error
2MASS J00521232+0012172 W3,only upper error
2MASS J00521232+0012172 W4,only upper error
RG 0050-2722 W4,only upper error
2MASS J00531899-3631102 W4,only upper error
SDSSp J005406.55-003101.8 W3,only upper error
SDSSp J005406.55-003101.8 W4,only upper error
PSO J013.7740+38.2804 W3,only upper error
PSO J013.7740+38.2804 W4,only upper error
2MASS J00550564+0134365 W3,only upper error
2MASS J00550564+0134365 W4,only upper error
LHS 1166 W4,only upper error
SDSS J005636.22-011131.9 W3,only upper error
SDSS J005636.22-011131.9 W4,only upper error
SDSS J005705.55-084624.2 W3,only upper error
SDSS J005705.55-084624.2 W4,only upper error
WISEA J005757.64+201304.0 W4,only upper error
2MASSW J0058425-065123 W4,only upper error
CFBDS J005910.90-011401.3 W4,only upper error
SDSS J005935.48+150905.0 W3,only upper error
SDSS J005935.48+150905.0 W4,only upper error
ULAS J010036.01+062044.1 W3,only upper error
ULAS J010036.01+062044.1 W4,only upper error
WISEA J010116.12-520629.8 W3,only upper error
WISEA J010116.12-520629.8 W4,only upper error
WISEA J010202.11+035541.4 W3,only upper error
WISEA J010202.11+035541.4 W4,only upper error
LHS 132 W4,only upper error
2MASSI J0103320+193536 W4,only upper error
2MASS J01033563-5515561(AB)b,missing wise designation name
2MASS J01033563-5515561(AB)b,missing proper motion values
2MASS J01033563-5515561(AB)b W1,only upper error
2MASS J01033563-5515561(AB)b W2,only upper error
2MASS J01033563-5515561(AB)b W3,only upper error
2MASS J01033563-5515561(AB)b W4,only upper error
2MASSI J0104075-005328 W3,only upper error
2MASSI J0104075-005328 W4,only upper error
2MASS J01062285-5933185 W4,only upper error
ULAS2MASS J0106+1518 W4,only upper error
2MASS J01071607-1517577 W4,only upper error
SDSS J010718.70+132656.2 W3,only upper error
SDSS J010718.70+132656.2 W4,only upper error
SDSSp J010752.33+004156.1 W4,only upper error
SDSS J010840.49+134739.3 W3,only upper error
SDSS J010840.49+134739.3 W4,only upper error
SDSS J010859.24-104546.3 W3,only upper error
SDSS J010859.24-104546.3 W4,only upper error
SSSPM J0109-5101 W4,only upper error
SSSPM J0109-4955 W4,only upper error
2MASS J01092170+2949255 W4,only upper error
2MASS J01095117-0343264 W4,only upper error
SDSS J011014.30+010619.1 W3,only upper error
SDSS J011014.30+010619.1 W4,only upper error
ULAS J011151.89-010534.2 W3,only upper error
ULAS J011151.89-010534.2 W4,only upper error
WISEA J011154.36-505343.2 W4,only upper error
GU Psc b W3,only upper error
GU Psc b W4,only upper error
ULAS J011249.67+153657.6 W3,only upper error
ULAS J011249.67+153657.6 W4,only upper error
ULAS J011438.94+085420.8 W1,only upper error
WISEA J011639.05-165420.5 W4,only upper error
ULAS J011645.47+144335.3 W3,only upper error
ULAS J011645.47+144335.3 W4,only upper error
DENIS J0116529-645557 W4,only upper error
2MASS J01165457-1357342 W4,only upper error
2MASSI J0117474-340325 W4,only upper error
SDSS J011816.78+141841.4 W3,only upper error
SDSS J011816.78+141841.4 W4,only upper error
HIP 6217C W3,only upper error
HIP 6217C W4,only upper error
2MASS J01204916-0741036 W4,only upper error
2MASS J01205114-5200349 W4,only upper error
SIMP J01205253+1518277 W3,only upper error
SIMP J01205253+1518277 W4,only upper error
WISEA J012057.06-764216.4 W3,only upper error
WISEA J012057.06-764216.4 W4,only upper error
HIP 6407B W3,only upper error
HIP 6407B W4,only upper error
SDSS J012236.30+153339.4 W3,only upper error
SDSS J012236.30+153339.4 W4,only upper error
2MASS J01225093-2439505B,missing wise designation name
2MASS J01225093-2439505B,missing proper motion values
2MASS J01225093-2439505B W1,only upper error
2MASS J01225093-2439505B W2,only upper error
2MASS J01225093-2439505B W3,only upper error
2MASS J01225093-2439505B W4,only upper error
2MASS J01231125-6921379 W4,only upper error
WISEPA J012333.21+414203.9 W3,only upper error
WISEPA J012333.21+414203.9 W4,only upper error
SSSPM J0124-4240 W4,only upper error
2MASS J01244599-5745379 W4,only upper error
SERC 296A W4,only upper error
2MASSI J0125369-343505 W3,only upper error
2MASSI J0125369-343505 W4,only upper error
2MASS J01262109+1428057 W3,only upper error
2MASS J01262109+1428057 W4,only upper error
2MASS J01265327-5505506 W4,only upper error
ULAS J012735.66+153905.9 W3,only upper error
ULAS J012735.66+153905.9 W4,only upper error
CTI 012657.5+280202 W4,only upper error
SDSS J012743.51+135420.9 W3,only upper error
SDSS J012743.51+135420.9 W4,only upper error
ULAS J012814.41-004153.5 W3,only upper error
ULAS J012814.41-004153.5 W4,only upper error
2MASS J01282664-5545343 W4,only upper error
VIKING  J012834.94-280302.6 W3,only upper error
VIKING  J012834.94-280302.6 W4,only upper error
ULAS J012855.07+063357.0,missing wise designation name
