source,access_url,regime,telescope,instrument,mode,observation_date,comments,reference
ULAS_J233227.03+123452.0,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J233227.03+123452.0_L6p+T4p_Xshooter_VIS_Primeval-IV.fits,optical,ESO VLT,XShooter,Echelle,2015-09-10T04:48:48.808000,,Zhan18.1352
ULAS_J231949.36+044559.5,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J231949.36+044559.5_M7_OSIRIS_GTC46-14A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2014-07-21T02:34:40.415000,,Zhan18.1352
ULAS_J225902.14+115602.1,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J225902.14+115602.1_sdL0_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-07-19T02:17:20.789000,,Zhan18.1352
ULAS_J124425.75+102439.3,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J124425.75+102439.3_esdL0.5_IMACS_Magellan_Primeval-I.fits,optical,Baade_Mag_1,IMACS Short-Camera,,2010-05-05T00:00:00,,Zhan18.1352
ULAS_J011711.98-005213.4,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J011711.98-005213.4_M7_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-07-30T05:05:23.895000,,Zhan18.1352
ULAS_J134505.85+342441.8,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J134505.85+342441.8_M9_OSIRIS_GTC46-14A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2014-07-13T21:58:54.059000,,Zhan18.1352
SDSS_J010448.46+153501.8,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/SDSS_J010448.46+153501.8_usdL1.5_Xshooter_UVB_Primeval-II.fits,optical,ESO VLT,XShooter,Echelle,2016-09-10T03:36:41.155000,,Zhan18.1352
ULAS_J004602.85+091131.2,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J004602.85+091131.2_M9_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-08-02T01:57:51.317000,,Zhan18.1352
ULAS_J134505.85+342441.8,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J134505.85+342441.8_M9_comb_OSIRIS_scombine_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-03-18T05:35:31.847000,,Zhan18.1352
ULAS_J023803.12+054526.1,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J023803.12+054526.1_sdL0_OSIRIS_GTC80-15A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2015-08-24T04:00:30.486000,,Zhan18.1352
ULAS_J230711.01+014447.1,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J230711.01+014447.1_usdL4.5_OSIRIS_GTC63-13A_Primeval-III.fits,optical,GTC,OSIRIS,Missing,2013-07-06T03:08:23.929000,,Zhan18.1352
2MASS_J06453153-6646120,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/2MASS_J06453153-6646120_sdL8_Xshooter_VIS_Primeval-IV.fits,optical,ESO VLT,XShooter,Echelle,2016-02-19T00:57:30.072000,,Zhan18.1352
ULAS_J125226.62+092920.1,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J125226.62+092920.1_sdL0.5_OSIRIS_GTC80-15A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2015-03-17T04:21:08.623000,,Zhan18.1352
ULAS_J011840.73+084424.7,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J011840.73+084424.7_sdL0_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-08-02T04:34:43.229000,,Zhan18.1352
ULAS_J124104.75-000531.4,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J124104.75-000531.4_sdL0_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-05-09T01:33:46.708000,,Zhan18.1352
